Homo_sapiens,Species
"65,000",Body_weight
"1,330,000",Brain_weight
"18,732",Ventricles
"13,205",Meninges_hypophysis_nerves_etc
"1,251,847",Total_brain_net_volume
"9,622",Medulla_oblongata
"137,421",Cerebellum
"8,087",Mesencephalon
"33,319",Diencephalon
"1,063,399",Telencephalon
114,Bulbus_olfactorius
0,Bulbus_olfactorius_accessorius
"9,032",Lobus_piriformis
"2,610",Septum
"28,689",Striatum
"6,142",Schizocortex
"10,287",Hippocampus
"1,006,525",NeoWG
133,Epithalamus
"18,222",Thalamus
"3,555",Hypothalamus
"5,180",Subthalamus
"4,711",Pallidum
469,Nucleus_subthalamicus
"7,008",Capsula_interna
823,Tractus_opticus
"6,016",Palaeocortex
"3,015",Amygdala
592,Complexus_centromedialis
0,Nucleus_tractus_olfactorius
"2,424",Complexus_cortico_basolateralis
246,Nucleus_amygdalae_basalis_parsmagnocellularis
"1,258,397.68",Brainvol
584706,NeoG_Frahm
421819,NeoW_Frahm
15247.5,ASG_Sousa
335,LGN_Sousa
10477.9,Pons
6.479,Total_insula_volume
0.4446,FI_volume
1.2006,Agranular_volume
1.8738,Granular_volume
2.9602,Dysgranular_volume
1357.82,Brain_volume
1406.72,Brain_mass
70.1,Body_mass
