,min,predicted,max,observed,diff.min,diff.pre,diff.max,n,glucose
LGN_Sousa,520.684,664.528,848.109,335.000,0.554,0.984,1.532,43.000,23.100
Amygdala,3910.395,4876.420,6081.092,3015.000,0.297,0.617,1.017,17.000,22.200
Pallidum,5803.454,7060.251,8589.220,4711.000,0.232,0.499,0.823,26.000,21.900
NeoW_Frahm,514796.000,626063.000,761379.000,421819.000,0.220,0.484,0.805,23.000,19.150
Nucleus_subthalmicus,444.041,568.970,729.047,469.000,-0.053,0.213,0.554,25.000,25.200
Capsula_interna,6334.924,7838.049,9697.828,7008.000,-0.096,0.118,0.384,25.000,25.500
Striatum,26941.180,31757.710,37435.330,28689.000,-0.061,0.107,0.305,45.000,36.270
ASG_Sousa,9211.291,13726.075,20453.717,15247.500,-0.396,-0.100,0.341,44.000,35.800
NeoG_Frahm,483344.900,522457.000,564734.100,584706.000,-0.173,-0.106,-0.034,24.000,33.500
Mesencephalon,6162.647,6911.311,7750.926,8087.000,-0.238,-0.145,-0.042,46.000,26.250
Cerebellum,81325.580,92873.610,106061.430,137421.000,-0.408,-0.324,-0.228,46.000,29.770
Hippocampus,5112.521,6881.630,9262.912,10287.000,-0.503,-0.331,-0.100,45.000,25.700
Total_insula_volume,1.642,3.482,7.386,6.480,-0.747,-0.463,0.140,29.000,30.300
,,,,,,,,,
