Region,Lobe,EI_Ratio,rCMRGlc_Mean,Excitatory,Inhibitory,Total,E_pct,Functional_Type,Broad_Category,Total_Cells,MGE_Interneuron,CGE_Interneuron,LAMP5_Chandelier,Total_Interneuron,Excitatory_IT,Excitatory_CT_NP,Total_Excitatory,Astrocyte,Oligodendrocyte,Microglia,Total_Glia,Total_Neuron,MGE_pct,CGE_pct,LAMP5_pct,Interneuron_pct,Excitatory_pct,Glia_pct,Neuron_pct
V1C,Occipital_lobe,4.415067519545132,35.8,24848,5628,33484,74.2,Primary_Sensory,SENSORIMOTOR,33484,3677,2183,360,6220,22747,1584,24331,847,1740,245,2832,30551,10.98136423366384,6.519531716640784,1.0751403655477243,18.57603631585235,72.66455620594911,8.457770875642098,91.24059252180146
Ig,Insular_lobe,3.1303166351606806,30.3,26495,8464,38937,68.0,Limbic_Assoc,ASSOCIATIVE,38937,5331,3872,633,9836,23281,2000,25281,1157,2039,357,3553,35117,13.691347561445411,9.944268947273802,1.6257030587872718,25.261319567506487,64.92796055166038,9.124996789685904,90.18928011916685
M1C,Frontal_lobe,3.045466335643088,35.3,82188,26987,116576,70.5,Primary_Motor,SENSORIMOTOR,116576,17544,12727,2476,32747,65432,9897,75329,1492,4406,274,6172,108076,15.049409827065604,10.917341476804832,2.1239363162228933,28.09068762009333,64.61793164973922,5.294400219599232,92.70861926983255
V2,Occipital_lobe,2.9367647058823527,35.8,21967,7480,32638,67.3,Secondary_Sensory,SENSORIMOTOR,32638,4257,3560,536,8353,20026,1230,21256,903,1766,235,2904,29609,13.043078620013482,10.907531098719284,1.6422574912678474,25.592867210000612,65.12653961639806,8.897604019854159,90.71940682639867
MTG,Temporal_lobe,2.8739921677032942,30.5,62380,21705,107301,58.1,Language_Assoc,ASSOCIATIVE,107301,12656,11311,1564,25531,54242,4986,59228,4947,14617,2241,21805,84759,11.794857457060045,10.541374264918314,1.457581942386371,23.79381366436473,55.19799442689257,20.32133903691485,78.99180809125731
A1C,Temporal_lobe,2.6835956714215445,30.5,21823,8132,32790,66.6,Primary_Sensory,SENSORIMOTOR,32790,4799,3730,700,9229,19031,1842,20873,666,1566,311,2543,30102,14.635559621835926,11.375419335163159,2.1347971942665445,28.14577615126563,63.65660262275084,7.755413235742605,91.80237877401647
A13,Frontal_lobe,2.666552745500114,35.3,23407,8778,34919,67.0,Prefrontal_Assoc,ASSOCIATIVE,34919,5366,4262,723,10351,20043,2069,22112,749,1339,158,2246,32463,15.3669921819067,12.205389615968384,2.0705060282367764,29.642887826111856,63.32369197285146,6.432028408602767,92.96657979896331
A19,Occipital_lobe,2.495557618353004,35.8,18819,7541,29674,63.4,Secondary_Sensory,SENSORIMOTOR,29674,4640,3558,545,8743,16770,1212,17982,819,1780,256,2855,26725,15.63658421513783,11.990294533935431,1.8366246545797666,29.46350340365303,60.59850374064838,9.621217227202266,90.0620071443014
A43,Parietal_lobe,2.4931681544908,35.8,27370,10978,42834,63.9,Sensorimotor_Assoc,SENSORIMOTOR,42834,7115,5024,807,12946,23886,1938,25824,1215,2066,437,3718,38770,16.610636410328244,11.729000326843162,1.8840173693794648,30.223654106550875,60.288555820142875,8.680020544427324,90.51220992669374
A5-A7,Parietal_lobe,2.484746132054914,35.8,22805,9178,35290,64.6,Sensorimotor_Assoc,SENSORIMOTOR,35290,5630,4244,628,10502,20616,1353,21969,667,1806,261,2734,32471,15.953527911589685,12.026069708132615,1.7795409464437517,29.759138566166055,62.252762822329274,7.747237177670728,92.01190138849532
A38,Temporal_lobe,2.414408990567931,30.5,24062,9966,37642,63.9,Limbic_Assoc,ASSOCIATIVE,37642,5665,5613,785,12063,20100,2030,22130,819,1891,410,3120,34193,15.049678550555232,14.911534987513948,2.0854364805270706,32.04665001859625,58.79071250199246,8.288613782477022,90.8373625205887
S1C,Parietal_lobe,2.407826680979799,35.8,24673,10247,38188,64.6,Primary_Sensory,SENSORIMOTOR,38188,6470,4884,980,12334,20439,2450,22889,658,1703,328,2689,35223,16.942495024615063,12.789357913480675,2.566251178380643,32.29810411647638,59.93767675709647,7.041478998638316,92.23578087357285
FI,Insular_lobe,2.3872456471575414,30.3,22760,9534,34949,65.1,Limbic_Assoc,ASSOCIATIVE,34949,5772,4681,1198,11651,16444,3640,20084,622,1270,341,2233,31735,16.515494005550945,13.393802397779622,3.427852012933131,33.3371484162637,57.46659418009099,6.389310137629117,90.80374259635468
A25,Frontal_lobe,2.3846981704334214,35.3,24374,10221,37767,64.5,Limbic_Assoc,ASSOCIATIVE,37767,6738,4614,1024,12376,19172,2914,22086,713,1559,361,2633,34462,17.84097227738502,12.217014854237828,2.7113617708581566,32.769348902481,58.479625069505126,6.9716948658882085,91.24897397198612
STG,Temporal_lobe,2.35092936802974,30.5,18972,8070,40565,46.8,Language_Assoc,ASSOCIATIVE,40565,4693,3973,524,9190,16785,1306,18091,2648,9351,1085,13084,27281,11.569086651053864,9.79415752495994,1.2917539751016887,22.654998151115493,44.59755947245162,32.254406508073465,67.25255762356711
A44-A45,Frontal_lobe,2.344372746251661,35.3,24705,10538,38259,64.6,Motor_Assoc,SENSORIMOTOR,38259,6389,5033,782,12204,21306,2020,23326,829,1466,204,2499,35530,16.699338717687343,13.15507462296453,2.0439635118534203,31.898376852505294,60.96866096866097,6.531796440053321,92.86703782116626
A46,Frontal_lobe,2.285697230181471,35.3,19145,8376,31065,61.6,Prefrontal_Assoc,ASSOCIATIVE,31065,5268,3951,575,9794,16230,1801,18031,965,1931,213,3109,27825,16.957991308546596,12.718493481409949,1.850957669402865,31.527442459359406,58.042813455657495,10.008047642040882,89.5702559150169
A40,Parietal_lobe,2.0414400414400413,35.8,23646,11583,39053,60.5,Sensorimotor_Assoc,SENSORIMOTOR,39053,7155,5683,605,13443,21312,1176,22488,966,1771,275,3012,35931,18.32125572939339,14.552019051033211,1.5491767597879804,34.42245154021458,57.58328425473075,7.712595703275037,92.00573579494534
ITG,Temporal_lobe,1.727538960359795,30.5,16517,9561,29522,55.9,Visual_Assoc,ASSOCIATIVE,29522,5185,5284,696,11165,14258,1095,15353,839,1667,370,2876,26518,17.563173226746155,17.89851636068017,2.357563850687623,37.81925343811395,52.005284194837756,9.741887406002302,89.82453763295169
A32,Frontal_lobe,1.4821570182394923,35.3,13083,8827,24808,52.7,Limbic_Assoc,ASSOCIATIVE,24808,4570,5300,609,10479,11439,707,12146,978,799,254,2031,22625,18.42147694292164,21.364076104482425,2.4548532731376973,42.240406320541766,48.96001289906482,8.186875201547887,91.20041921960657
