Species,Species_Stephan_file,Code_number_Stephan,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizocortex,Hippocampus,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,NeoG_Frahm,NeoW_Frahm,ASG_Sousa,LGN_Sousa,Pons,Total_insula_volume,FI_volume,Agranular_volume,Granular_volume,Dysgranular_volume,Brain_volume,Brain_mass,Body_mass,Number.of.individuals.vestibular.complex,Complexus.vestibularis,Nucleus.vestibularis.superior,Nucleus.vestibularis.lateralis,Nucleus.vestibularis.medialis,Nucleus.vestibularis.descendens,Number.of.individuals.periventrucular,Nucleus.septalis.triangularis,Corpus.subfornicale,Nucleus.habenularis.medialis,Corpus.pineale,Corpus.subcommissurale,Prefrontal.Gray,Other.cortical.association.areas.Gray,Frontal.motor.Gray,Primary.visual.White.Smaers,Prefrontal.White,Other.cortical.association.areas.White,Frontal.motor
Alouatta_caraya,,,6400,55800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,0.04,0.09,0.14,53.86,55.8,6.4,,,,,,,,,,,,,,,,,,,
Alouatta_seniculus,Alouatta sp.,_0179,6400,52000,616,568,49009,1593,5699,986,3344,37388,41.4,0.6,827,200,2829,510,1320,31660,,,,,,,,,488,413,94.9,0,318,30.7,50193.05,21791,9869,1918,87.4,,,,,,,,,,,,,,,,1,1.72,0.37,3.3,0.25,0.4,1.02,12.39,1.08,0.54,0.18,4.21,0.87
Aotus_trivirgatus,Aotus trivirgatus,_0171,830,17100,105,206,16195,686,1873,409,1098,12128,56,0.22,394,83.8,862,243,539,9950,,,,,,,,,203,201,54.5,0.2,147,15.7,16505.79,7776,2174,996,32.9,112.1,,,,,,,,,,,,,,,1,0.96,0.16,3.21,1.55,0.14,,,,,,,
Ateles_geoffroyi,Ateles geoffroyi,_0184,8000,108000,1389,1824,101034,1834,12438,1482,5334,79946,90.4,2.19,1625,324,4950,732,1366,70856,30.5,2930,629,860,807,52.8,570,204,,,,,,,104247.1,,,3753,151,,0.42,,0.14,0.1,0.18,102.7,106.4,7.78,1,49.7,7.2,6.81,23.8,11.9,2,3.18,0.44,7.29,3.1,0.61,2.77,32.93,3.12,0.99,0.29,10.33,1.59
Avahi_laniger,Avahi laniger,_0130,1285,10490,172,156,9798,553,1489,343,862,6550,89.2,3.01,284,69.7,524,241,526,4813,6.52,489,137,80.5,74.5,5.94,105,38.3,,,,,,,,,,475,27.6,60.9,0.04,,0.01,0.01,0.02,9.26,9.6,1.03,,,,,,,1,1.29,0.12,2.21,0.7,0.14,,,,,,,
Avahi_occidentalis,Avahi occidentalis,_0131,860,9670,73.7,137,9124,508,1383,345,861,6026,70.1,2.55,265,69.3,478,222,476,4443,,,,,,,,,,,,,,,,3666,777,450,29.3,60.3,,,,,,,,,2,18.1,3.1,3.32,6.86,4.81,1,0.99,0.19,2.04,0.65,0.09,,,,,,,
Callimico_goeldii,Callimico goeldii,_0166,480,11000,47.9,59.5,10510,460,1240,340,739,7733,27,0.51,253,63.5,493,138,281,6476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithrix_jacchus,Callithrix jacchus,_0151,280,7600,52,42.9,7241,318,757,295,554,5318,22.8,0.33,191,49.8,372,90,221,4371,,,,,,,,,99.3,113,28.3,0.2,84.6,8.57,7335.91,3564,807.1,566,25.1,38.8,,,,,,,,,,,,,,,1,0.44,0.13,1.63,0.49,0.08,,,,,,,
Callithrix_pygmaea,Callithrix pygmaea,_0156,140,4500,24.5,16.9,4302,201,468,192,342,3099,12.3,0.39,133,29.2,174,81.8,133,2535,3.68,190,69.2,27.7,25.8,1.95,21.8,23.8,,,,,,,4343.63,2139,395.3,363,16.9,17.5,0.01,,0,0,0.01,4.01,4.2,0.11,1,11.1,2.1,2.94,4.11,1.96,,,,,,,,,,,,,
Cebus_albifrons,Cebus albifrons,_0191,3100,71000,729,864,66939,1738,7871,1221,3996,52113,39.9,0.67,931,174,3258,390,890,46429,23.7,2163,418,609,567,41.7,549,207,567,502,118,0,384,41,68532.82,30630,15799,3764,137,682.2,0.3,,0.03,0.11,0.16,77.03,79.8,3.18,1,50.2,11.2,7.45,19.2,12.3,2,1.5,0.41,4.9,3.8,0.43,1.43,21.02,1.98,0.94,0.26,12.05,1.43
Cercocebus_agilis,,,5660,95300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,0.11,0.16,0.12,91.99,95.3,5.66,,,,,,,,,,,,,,,,,,,
Cercopithecus_ascanius,Cercopithecus ascanius,_0231,3400,67000,240,927,63505,1632,5828,1162,3605,51279,99.5,0,1052,251,2827,694,1189,45166,17.9,1916,410,431,405,25.7,421,320,450,601,136,0,465,48.9,64671.81,32114,13052,4272,147,520.2,,,,,,,,,1,52,8.21,5.88,20.8,17.2,1,2.13,0.51,4.23,4.66,0.22,1.15,16.06,1.35,0.83,0.16,8.3,0.93
Cercopithecus_mitis,Cercopithecus mitis,_0227,6300,75000,467,1363,70564,1999,6758,1354,4176,56277,117,0,1265,246,2733,617,1366,49933,,,,,,,,,,,,,,,72393.82,,,4232,150,517.6,0.61,,0.09,0.13,0.39,69.11,71.6,5.48,,,,,,,1,1.96,0.43,5.38,15.3,0.26,1.38,19.39,1.85,1.04,0.21,9.91,0.95
Cheirogaleus_major,Cheirogaleus major,_0111,450,6800,83.4,108,6373,382,947,241,489,4314,158,4.04,332,58.9,327,149,347,2938,4.83,271,101,33.8,31.6,2.27,48.6,18,233,99.4,34.1,0.85,65.3,7.32,6563.71,,,433,21.5,27.4,,,,,,,,,1,11.1,1.86,1.78,4.18,3.27,1,0.92,0.26,1.75,0.79,0.03,,,,,,,
Cheirogaleus_medius,Cheirogaleus medius,_0112,177,3140,24.6,45.2,2961,202,437,145,235,1941,102,2.66,198,32.5,145,65.3,174,1221,,,,,,,,,135,63.2,23.3,0.47,39.8,,3030.89,,,199,10.8,13,,,,,,,,,,,,,,,1,0.39,0.17,1.06,0.69,0.04,,,,,,,
Colobus_angolensis,,,9680,74400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,0.22,,0.03,0.04,0.15,71.82,74.4,9.68,,,,,,,,,,,,,,,,,,,
Daubentonia_madagascariensis,Daubentonia madagasc.,_0136,2800,45150,392,578,42611,1517,6461,897,3539,30196,685,8.31,1538,254,2765,1044,1776,22127,,,,,,,,,1065,473,122,3.53,351,24.9,43581.08,17074,5053,1113,58.5,304.8,,,,,,,,,,,,,,,1,2.65,0.59,7.75,3.32,1.83,,,,,,,
Erythrocebus_patas,Erythrocebus patas,_0234,7800,108000,561,519,103167,2616,8738,1621,5423,84770,51.8,0,1339,330,3624,693,1591,77141,,,,,,,,,,,,,,,,,,,267,814.5,,,,,,,,,,,,,,,,,,,,,1.56,,2.55,,0.27,,1.85
Eulemur_fulvus,Eulemur fulvus,_0118,1400,23300,194,190,22106,909,3328,590,1713,15566,207,3.21,641,119,1215,422,752,12207,12.2,1028,239,225,212,13.9,248,108,389,251,71.7,1.37,179,19.6,22490.35,9172,3035,1253,51.8,136.9,,,,,,,,,1,31.1,6.22,5.9,9.75,9.27,4,1.4,0.53,4.02,1.85,0.17,,,,,,,
Galago_senegalensis,Galago senegalensis,_0143,186,4800,40.2,81.4,4512,254,672,205,382,2997,79.2,2.58,163,35.7,210,107,261,2139,,,,,,,,,,,,,,,4633.2,,,301,16,21,,,,,,,,,,,,,,,1,0.59,0.07,1,0.74,0.04,,,,,,,
Galagoides_demidoff,Galagoides demidoff,_0142,81,3380,30.4,28.8,3203,169,413,135,246,2240,83.1,1.26,181,25.7,169,59.9,152,1568,2.09,153,45.1,18.3,17,1.4,18.4,11.5,122,50.2,14.9,0.62,35.3,2.82,3262.55,1417,150.6,214,10.9,13.6,0.01,,0,0.01,0.01,3.19,3.3,0.06,2,6.65,1.02,1.01,2.72,1.9,2,0.45,0.02,0.78,0.38,0.03,,,,,,,
Gorilla_gorilla,Gorilla gorilla,_0279,105000,500000,3608,8659,470359,7509,69249,4352,19370,369878,316,0,4871,1173,14567,2729,4781,341444,106,10547,2215,2782,2604,178,2471,671,,,,,,,398648.65,,,9129,308.5,5400.6,1.9,0.23,0.57,0.39,0.95,326.79,341.25,102.34,1,136,34.7,19.5,58.4,23.6,2,5.79,1.3,23.9,7.96,1.41,11.64,125.54,14.85,3.12,2.61,60.39,10.3
