"ROIGroup","ROIGroupCoarse","ROIGroupFine","roi","disease_ontology_term_id","self_reported_ethnicity_ontology_term_id","assay_ontology_term_id","sex_ontology_term_id","development_stage_ontology_term_id","donor_id","suspension_type","dissection","fraction_mitochondrial","fraction_unspliced","cell_cycle_score","total_genes","total_UMIs","sample_id","supercluster_term","cluster_id","subcluster_id","cell_type_ontology_term_id","is_primary_data","tissue_type","tissue_ontology_term_id","cell_type","assay","disease","sex","tissue","self_reported_ethnicity","development_stage","observation_joinid","obs_dataset","dissection_chr","tissue_chr","roi_chr","dissection_blank","tissue_blank"
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0,0.730074479924664,0.00154096395856519,3943,11681,"10X418_2","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","kyr`yn2z96","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0,0.752728317059161,0.00186674325100517,2986,6964,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","Op*Dxp{zQG","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000726984336792016,0.789703258211619,0.00158614764390985,4344,15131,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","--Z|$N2{09","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000264084507042253,0.693573943661972,0.00255281690140845,4018,11360,"10X419_3","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","29-year-old stage","y=VIQ(YbDW","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",7.50243829244504e-05,0.771475729612124,0.000975316978017856,4188,13329,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","H5*k<EfH%t","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000702658390912285,0.701721513057735,0.00152242651364328,3309,8539,"10X418_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","DYa^oj=@>s","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000589275191514437,0.702121390689452,0.0016205067766647,2923,6788,"10X419_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","QFI^g5a+y4","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",9.13700945680479e-05,0.75987939147517,0.00155329160765681,5651,21889,"10X418_1","Oligodendrocyte","50","2998","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","G|~~MQn*ZY","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Hindbrain","Pons","Pons","Human PB","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000123","H19.30.002","nucleus","",0.000324648973297622,0.692638584530476,0.0015420826231637,3991,12321,"10X418_2","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0007634","oligodendrocyte","10x 3' v3","normal","male","parabrachial nucleus","unknown","29-year-old stage","T&{`@8`Rc}","nonneuronal","","parabrachial nucleus","Human PB",TRUE,FALSE
"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Human Gpe","PATO:0000461","unknown","EFO:0009922","PATO:0000384","HsapDv:0000136","H19.30.001","nucleus","",0.000117322696075556,0.780254590250484,0.00193582448524667,4951,17047,"10X419_1","Oligodendrocyte","50","2996","CL:0000128",FALSE,"tissue","UBERON:0001875","oligodendrocyte","10x 3' v3","normal","male","globus pallidus","unknown","42-year-old stage","Bef6TODHR*","nonneuronal","","globus pallidus","Human Gpe",TRUE,FALSE
