"anatomy_group","n_cells_Astrocyte","n_cells_Bergmann glia","n_cells_Choroid plexus","n_cells_Committed oligodendrocyte precursor","n_cells_Ependymal","n_cells_Fibroblast","n_cells_Microglia","n_cells_Oligodendrocyte","n_cells_Oligodendrocyte precursor","n_cells_Vascular","abundance_Astrocyte","abundance_Bergmann glia","abundance_Choroid plexus","abundance_Committed oligodendrocyte precursor","abundance_Ependymal","abundance_Fibroblast","abundance_Microglia","abundance_Oligodendrocyte","abundance_Oligodendrocyte precursor","abundance_Vascular","p_cells_Astrocyte","p_cells_Bergmann glia","p_cells_Choroid plexus","p_cells_Committed oligodendrocyte precursor","p_cells_Ependymal","p_cells_Fibroblast","p_cells_Microglia","p_cells_Oligodendrocyte","p_cells_Oligodendrocyte precursor","p_cells_Vascular","enrichment_global_Astrocyte","enrichment_global_Bergmann glia","enrichment_global_Choroid plexus","enrichment_global_Committed oligodendrocyte precursor","enrichment_global_Ependymal","enrichment_global_Fibroblast","enrichment_global_Microglia","enrichment_global_Oligodendrocyte","enrichment_global_Oligodendrocyte precursor","enrichment_global_Vascular","log2_enrichment_global_Astrocyte","log2_enrichment_global_Bergmann glia","log2_enrichment_global_Choroid plexus","log2_enrichment_global_Committed oligodendrocyte precursor","log2_enrichment_global_Ependymal","log2_enrichment_global_Fibroblast","log2_enrichment_global_Microglia","log2_enrichment_global_Oligodendrocyte","log2_enrichment_global_Oligodendrocyte precursor","log2_enrichment_global_Vascular"
"Basal forebrain",4276,1,6116,114,773,710,1678,8600,2593,270,0.200037795269161,0.000212359311955829,0.163960256496577,0.00679967560041871,0.026617130179784,0.0215897080035084,0.0834483663572232,0.438338921496364,0.105367135612366,0.00842364337947184,1,1,1,1,1,1,1,1,1,1,4.90602256270236,68.7686837341608,85.8664836938973,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,6.1036798268644,6.42402320827254,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Caudatum",753,0,0,16,113,16,181,1281,406,21,0.266544286399902,0,0,0.00572098533123415,0.0594913906626581,0.00572098533123415,0.0641245286737661,0.464661067100935,0.146038708612644,0.0112927671627699,1,0,0,1,1,1,1,1,1,1,4.90602256270236,0,0,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,0,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Cerebellar cortex",108,1070,0,2,0,69,241,1103,564,61,0.0250894994166154,0.324181012306545,0,0.00111236878006454,0,0.0185686427042213,0.0683441036774715,0.37739143913849,0.164952039371343,0.0207316841986047,1,1,0,1,0,1,1,1,1,1,4.90602256270236,68.7686837341608,0,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,6.1036798268644,0,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Colliculus inferior",627,28,1,22,64,74,611,2007,803,53,0.159817199840111,0.0165003599093953,0.00107642626480086,0.00644916920441218,0.013252388558595,0.0186220159856797,0.153544508848822,0.475310898174352,0.150973660088951,0.0150885734574107,1,1,1,1,1,1,1,1,1,1,4.90602256270236,68.7686837341608,85.8664836938973,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,6.1036798268644,6.42402320827254,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Colliculus superior",657,0,1,24,36,41,274,1193,478,37,0.240281381687658,0,0.00105263157894737,0.00850962843491484,0.0190852130325815,0.0146123853271454,0.101229163866554,0.429236972557577,0.179436287880585,0.0136198276975298,1,0,1,1,1,1,1,1,1,1,4.90602256270236,0,85.8664836938973,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,6.42402320827254,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Corpus amygdaloideum",8216,0,0,490,492,291,3872,15841,7028,337,0.185074710548989,0,0,0.0112696158794163,0.00935201749395558,0.00924449613314707,0.109968204751839,0.50627431365482,0.160818462590779,0.00799817894705477,1,0,0,1,1,1,1,1,1,1,4.90602256270236,0,0,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,0,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Corpus geniculatum laterale",1219,0,1,78,0,452,436,5281,779,349,0.144861664131788,0,0.000863557858376511,0.015182278764707,0,0.0554233784574154,0.0648439803731993,0.594758251134561,0.0913807968294848,0.0332617976893853,1,0,1,1,0,1,1,1,1,1,4.90602256270236,0,85.8664836938973,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,6.42402320827254,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Corpus geniculatum mediale",299,0,0,2,1,32,185,2949,204,19,0.0803793743764644,0,0,0.00128287363694676,0.000469043151969981,0.00888383976354689,0.0493340730515905,0.798143413478838,0.0572378563253733,0.00514548460972842,1,0,0,1,1,1,1,1,1,1,4.90602256270236,0,0,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,0,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Frontal lobe",6064,0,1,111,0,107,1516,8664,3162,221,0.28645744096703,0,0.000335457900033546,0.00531091825783986,0,0.00533926689689491,0.0694344354516648,0.473032452294929,0.148700623978874,0.0116409976777589,1,0,1,1,0,1,1,1,1,1,4.90602256270236,0,85.8664836938973,212.318163672655,0,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,6.42402320827254,7.73008398786463,0,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
"Hippocampus",27778,0,68,594,1929,685,11293,49888,16581,1164,0.241523187303045,0,0.00430080323825185,0.00500473410226531,0.015459446046146,0.0085680969797573,0.108057456926769,0.489805651801012,0.12172452393547,0.00842330182611743,1,0,1,1,1,1,1,1,1,1,4.90602256270236,0,85.8664836938973,212.318163672655,144.683623503808,111.174122073579,8.67955350294564,2.01763630293926,7.80558572309137,96.0724349710983,2.29455386883721,0,6.42402320827254,7.73008398786463,7.17675782465817,6.7966772017491,3.11762082888469,1.01266613914478,2.9645068946111,6.58605064831048
