rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_match_mode,assigned_rule_label,assigned_pattern,candidate_evidence,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,35359,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,34078,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cingulate gyrus, retrosplenial (CgGrs) - A29-A30"
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,8673,Cerebral cortex,Cerebral cortex,Cerebral cortex,Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,36941,Cerebral cortex,Cerebral cortex,Cerebral cortex,Paleocortex (PalCx) - Piriform cortex - Pir
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,17535,Cerebral cortex,Cerebral cortex,Cerebral cortex,Perirhinal cortex (area 35) (A35) - rostral subdivision of area 35 - A35r
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,2359,Cerebral cortex,Cerebral cortex,Cerebral cortex,NA
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,3454,Cerebral nuclei,Cerebral nuclei,Basal nuclei,NA
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,40165,Cerebral nuclei,Cerebral nuclei,Claustrum,Claustrum - Cla
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,24327,Epithalamus,Thalamus,Thalamus,Epithalamus - ETH
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,27210,Hindbrain,Myelencephalon,Myelencephalon,Myelencephalon (medulla oblongata) (Mo) - afferent nuclei of cranial nerves in medulla oblongata - MoAN
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,23120,Hindbrain,Myelencephalon,Myelencephalon,Myelencephalon (medulla oblongata) (Mo) - medullary reticular formation (MoRF) & efferent nuclei of cranial nerves in the medulla oblongata (MoEN) - MoRF-MoEN
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,21534,Hindbrain,Myelencephalon,Myelencephalon,Myelencephalon (medulla oblongata) (Mo) - precerebellar nuclei (PrCbN) - inferior olive - IO
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,13623,Hindbrain,Myelencephalon,Myelencephalon,Myelencephalon (medulla oblongata) (Mo) - sensory relay nuclei in medulla oblongata - MoSR
