"roi","sample_id","n","n_blank","frac_blank","tissue","dissection_values"
"Human A23","10X418_6",33,33,1,"Brodmann (1909) area 23",""
"Human A23","10X215_7",7288,0,0,"Brodmann (1909) area 23","Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23"
"Human A23","10X215_8",7204,0,0,"Brodmann (1909) area 23","Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23"
"Human A23","10X379_5",5363,0,0,"Brodmann (1909) area 23","Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23"
"Human A23","10X379_6",5975,0,0,"Brodmann (1909) area 23","Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23"
"Human A23","10X381_3",4397,0,0,"Brodmann (1909) area 23","Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23"
"Human A23","10X381_4",5132,0,0,"Brodmann (1909) area 23","Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23"
"Human A32","10X418_5",1147,1147,1,"Brodmann (1909) area 32",""
"Human A32","10X418_6",333,333,1,"Brodmann (1909) area 32",""
"Human A32","10X174_3",5973,0,0,"Brodmann (1909) area 32","Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32"
"Human A32","10X174_4",6290,0,0,"Brodmann (1909) area 32","Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32"
"Human A32","10X380_1",5824,0,0,"Brodmann (1909) area 32","Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32"
"Human A32","10X380_2",5208,0,0,"Brodmann (1909) area 32","Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32"
"Human A35-36","10X418_7",42,42,1,"perirhinal cortex",""
"Human A35-36","10X418_8",30,30,1,"perirhinal cortex",""
"Human A35-A36","10X418_7",393,393,1,"perirhinal cortex",""
"Human A35-A36","10X418_8",381,381,1,"perirhinal cortex",""
"Human A35-A36","10X215_1",5306,0,0,"perirhinal cortex","Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36"
"Human A35-A36","10X215_2",5542,0,0,"perirhinal cortex","Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36"
"Human A35-A36","10X361_5",5683,0,0,"perirhinal cortex","Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36"
"Human A35-A36","10X361_6",6355,0,0,"perirhinal cortex","Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36"
"Human GPe","10X419_2",387,387,1,"globus pallidus",""
"Human GPe","10X419_1",299,299,1,"globus pallidus",""
"Human GPe","10X419_4",147,147,1,"globus pallidus",""
"Human GPe","10X419_3",143,143,1,"globus pallidus",""
"Human GPe","10X145_7",6266,0,0,"globus pallidus","Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe"
"Human GPe","10X145_8",6175,0,0,"globus pallidus","Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe"
"Human GPe","10X319_5",6851,0,0,"globus pallidus","Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe"
"Human GPe","10X319_6",3536,0,0,"globus pallidus","Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe"
"Human GPe","10X319_7",6543,0,0,"globus pallidus","Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe"
"Human GPe","10X319_8",5774,0,0,"globus pallidus","Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe"
"Human GPe","10X393_7",5606,0,0,"globus pallidus","Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe"
"Human GPe","10X393_8",6625,0,0,"globus pallidus","Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe"
"Human Gpe","10X419_2",1319,1319,1,"globus pallidus",""
"Human Gpe","10X419_1",933,933,1,"globus pallidus",""
"Human Gpe","10X419_4",125,125,1,"globus pallidus",""
"Human Gpe","10X419_3",101,101,1,"globus pallidus",""
"Human PB","10X418_2",1239,1239,1,"parabrachial nucleus",""
"Human PB","10X418_1",1223,1223,1,"parabrachial nucleus",""
"Human PB","10X217_7",7348,0,0,"parabrachial nucleus","Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB"
"Human PB","10X217_8",8594,0,0,"parabrachial nucleus","Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB"
"Human PB","10X360_5",2487,0,0,"parabrachial nucleus","Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB"
"Human PB","10X360_6",3264,0,0,"parabrachial nucleus","Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB"
