dissection,ROIGroup,ROIGroupCoarse,ROIGroupFine,roi
,Cerebral cortex,Cerebral cortex,Cerebral cortex,Human A23
,Cerebral cortex,Cerebral cortex,Cerebral cortex,Human A32
,Cerebral cortex,Cerebral cortex,Cerebral cortex,Human A35-36
,Cerebral cortex,Cerebral cortex,Cerebral cortex,Human A35-A36
,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Human GPe
,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Human Gpe
,Hindbrain,Pons,Pons,Human PB
Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Human La
Amygdaloid complex (AMY) - Central nuclear group - CEN,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Human CEN
Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Human CoA
Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Human BL
Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Human BM
Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Human CMN
Basal forebrain (BF) - septal nuclei - SEP,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Human SEP
Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Human SI
Basal nuclei (BN) - Body of the Caudate - CaB,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Human CaB
Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Human GPe
Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Human GPi
