"Species","variable","col_Stephan","col_wide","Stephan","volumes_wide","pct_diff","status","on_tree","role"
"Pan_troglodytes","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",250.7,344,37.22,"DIFFERENT","yes","study3"
"Pan_troglodytes","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",8268.3,10593,28.12,"DIFFERENT","yes","study3"
"Alouatta_seniculus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",5699,4150,-27.18,"DIFFERENT","yes","study3"
"Alouatta_seniculus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",50193.05,37400,-25.49,"DIFFERENT","yes","report_only"
"Macaca_mulatta","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",8965,7233.33333333333,-19.32,"DIFFERENT","yes","study3"
"Aotus_trivirgatus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",16505.79,19125,15.87,"DIFFERENT","yes","report_only"
"Erythrocebus_patas","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",103167,89000,-13.73,"DIFFERENT","yes","report_only"
"Hylobates_lar","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",4086.7,4574,11.92,"DIFFERENT","yes","study3"
"Cercopithecus_mitis","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",150,167.2,11.47,"DIFFERENT","yes","study3"
"Erythrocebus_patas","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",8738,7900,-9.59,"DIFFERENT","yes","study3"
"Saimiri_sciureus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",2260,2050,-9.29,"DIFFERENT","yes","study3"
"Lophocebus_albigena","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",10726,11700,9.08,"DIFFERENT","yes","study3"
"Pan_troglodytes","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",43663,47100,7.87,"DIFFERENT","yes","study3"
"Callithrix_pygmaea","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",4005.8,4302,7.39,"DIFFERENT","yes","report_only"
"Aotus_trivirgatus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",1873,1750,-6.57,"DIFFERENT","yes","study3"
"Avahi_laniger","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",9256.8,9798,5.85,"DIFFERENT","yes","report_only"
"Macaca_mulatta","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",89768.34,84880,-5.45,"DIFFERENT","yes","report_only"
"Homo_sapiens","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",6165,6479,5.09,"DIFFERENT","yes","study3"
"Saguinus_midas","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",9942.08,9569,-3.75,"DIFFERENT","yes","report_only"
"Hylobates_lar","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",12078,11625,-3.75,"DIFFERENT","yes","study3"
"Homo_sapiens","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",15247.5,14787,-3.02,"DIFFERENT","yes","study3"
"Cheirogaleus_major","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",6563.71,6373,-2.91,"DIFFERENT","yes","report_only"
"Otolemur_crassicaudatus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",9942.08,9668,-2.76,"DIFFERENT","yes","report_only"
"Pithecia_monachus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",33783.78,32867,-2.71,"DIFFERENT","yes","report_only"
"Galago_senegalensis","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",4633.2,4512,-2.62,"DIFFERENT","yes","report_only"
"Pan_paniscus","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",275.1,282.3,2.62,"DIFFERENT","yes","study3"
"Nycticebus_coucang","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",12065.64,11755,-2.57,"DIFFERENT","yes","report_only"
"Cheirogaleus_medius","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",3030.89,2961,-2.31,"DIFFERENT","yes","report_only"
"Propithecus_verreauxi","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",25772.2,25194,-2.24,"DIFFERENT","yes","report_only"
"Daubentonia_madagascariensis","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",43581.08,42611,-2.23,"DIFFERENT","yes","report_only"
"Microcebus_murinus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",1718.15,1680,-2.22,"DIFFERENT","yes","report_only"
"Saguinus_midas","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",36,36.8,2.22,"DIFFERENT","yes","study3"
"Lepilemur_ruficaudatus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",7335.91,7175,-2.19,"DIFFERENT","yes","report_only"
"Miopithecus_talapoin","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",38610.04,37776,-2.16,"DIFFERENT","yes","report_only"
"Cercopithecus_ascanius","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",64671.81,63505,-1.8,"DIFFERENT","yes","report_only"
"Eulemur_fulvus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",22490.35,22106,-1.71,"DIFFERENT","yes","report_only"
"Papio_anubis","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",194015.44,190957,-1.58,"DIFFERENT","yes","report_only"
"Avahi_occidentalis","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",9124,9256.8,1.46,"DIFFERENT","yes","report_only"
"Callithrix_jacchus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",7335.91,7241,-1.29,"DIFFERENT","yes","report_only"
"Gorilla_gorilla","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",401785,,,"Stephan_only","yes","report_only"
"Pongo_abelii","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",333880,,,"Stephan_only","yes","report_only"
"Pongo_pygmaeus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",347970,,,"Stephan_only","yes","report_only"
"Lagothrix_lagotricha","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",97490.35,,,"Stephan_only","yes","report_only"
"Plecturocebus_moloch","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",18339.77,,,"Stephan_only","yes","report_only"
"Tarsius_syrichta","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",3474.9,,,"Stephan_only","yes","report_only"
"Callithrix_pygmaea","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",16.9,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",308.5,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",259.1,,,"Stephan_only","yes","study3"
"Lagothrix_lagotricha","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",164,,,"Stephan_only","yes","study3"
"Plecturocebus_moloch","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",54.2,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",20.8,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Amygdala","Amygdala","Amygdala_Vol.mm3",1400,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Amygdala","Amygdala","Amygdala_Vol.mm3",49.8,,,"Stephan_only","yes","study3"
"Avahi_laniger","Pallidum","Pallidum","Pallidum_Vol.mm3",74.5,,,"Stephan_only","yes","study3"
"Gorilla_gorilla","Pallidum","Pallidum","Pallidum_Vol.mm3",2604,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Pallidum","Pallidum","Pallidum_Vol.mm3",1800,,,"Stephan_only","yes","study3"
"Avahi_occidentalis","Pallidum","Pallidum","Pallidum_Vol.mm3",,74.5,,"volumes_wide_only","yes","study3"
"Lagothrix_lagotricha","Pallidum","Pallidum","Pallidum_Vol.mm3",845,,,"Stephan_only","yes","study3"
"Tarsius_syrichta","Pallidum","Pallidum","Pallidum_Vol.mm3",16.1,,,"Stephan_only","yes","study3"
"Pongo_pygmaeus","Neocortex white","NeoW_Frahm","Neocortex_white_matter_Vol.mm3",81500,,,"Stephan_only","yes","study3"
"Lagothrix_lagotricha","Neocortex white","NeoW_Frahm","Neocortex_white_matter_Vol.mm3",16727,,,"Stephan_only","yes","study3"
