species,label,stephan_var,wide_var,role,stephan_value,wide_value,verdict
Macaca_fascicularis,Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,study3,2713.3,NA,BLOCKER
Pan_paniscus,Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,study3,11606.5,NA,BLOCKER
Symphalangus_syndactylus,Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,study3,5468.9,NA,BLOCKER
Avahi_laniger,Capsula interna,Capsula_interna,Capsula_interna_Vol.mm3,study3,105,NA,BLOCKER
Callithrix_pygmaea,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,study3,16.9,NA,BLOCKER
Avahi_laniger,Insular cortex (grey),Total_insula_volume_L,Insula_left_Vol.mm3,study3,38,NA,BLOCKER
Callithrix_pygmaea,Insular cortex (grey),Total_insula_volume_L,Insula_left_Vol.mm3,study3,11,NA,BLOCKER
Avahi_laniger,Nucleus subthalamicus Luysi,Nucleus_subthalamicus,Nucleus_subthalamicus_Vol.mm3,study3,5.94,NA,BLOCKER
Avahi_laniger,Pallidum,Pallidum,Pallidum_Vol.mm3,study3,74.5,NA,BLOCKER
Gorilla_gorilla,Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,study3,9129,12062,differs
Homo_sapiens,Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,study3,15247.5,14787,differs
Hylobates_lar,Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,study3,4086.7,4574,differs
Pan_troglodytes,Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,study3,8268.3,10593,differs
Pongo_pygmaeus,Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,study3,8233.7,8400,differs
Cercopithecus_mitis,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,study3,150,167.2,differs
Gorilla_gorilla,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,study3,308.5,300.1,differs
Pan_paniscus,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,study3,275.1,282.3,differs
Pan_troglodytes,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,study3,250.7,344,differs
Saguinus_midas,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,study3,36,36.8,differs
Homo_sapiens,Insular cortex (grey),Total_insula_volume_L,Insula_left_Vol.mm3,study3,6165,6479,differs
Pongo_abelii,Insular cortex (grey),Total_insula_volume_L,Insula_left_Vol.mm3,study3,1158,1331.5,differs
Pongo_pygmaeus,Insular cortex (grey),Total_insula_volume_L,Insula_left_Vol.mm3,study3,1505,1331.5,differs
Pongo_pygmaeus,Neocortex grey,NeoG_Frahm,Neocortex_grey_matter_Vol.mm3,study3,138300,129900,differs
Ateles_geoffroyi,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,101034,102700,differs
Avahi_occidentalis,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,9124,9256.8,differs
Cebus_albifrons,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,66939,77027,differs
Cercopithecus_mitis,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,70564,69112,differs
Gorilla_gorilla,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,470359,401785,differs
Homo_sapiens,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,1251847,1357820,differs
Hylobates_lar,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,97505,88803,differs
Indri_indri,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,36285,32481,differs
Lophocebus_albigena,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,97603,106660,differs
Loris_tardigradus,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,6269,6612,differs
Pan_troglodytes,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,382103,330790,differs
Perodicticus_potto,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,13212,11100,differs
Piliocolobus_badius,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,73818,72394,differs
Saguinus_oedipus,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,9537,8938.2,differs
Varecia_variegata,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,29713,30405,differs
