Species,stephan_species,pair_note,stephan_var,wide_var,unit_scale,stephan_value,wide_value,difference,abs_difference,pct_diff,ratio,match_cat
Pan troglodytes,Pan troglodytes,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,250.7,344,93.30000000000001,93.30000000000001,37.21579577183886,1.3721579577183887,notable(5-100%)
Gorilla gorilla,Gorilla gorilla,NA,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,1,9129,12062,2933,2933,32.12838207908862,1.3212838207908861,notable(5-100%)
Pan troglodytes,Pan troglodytes,NA,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,1,8268.3,10593,2324.7000000000007,2324.7000000000007,28.115815826711668,1.2811581582671168,notable(5-100%)
Alouatta seniculus,Alouatta seniculus,NA,Cerebellum,Cerebellum_Vol.mm3,1,5699,4150,-1549,1549,-27.1802070538691,0.728197929461309,notable(5-100%)
Alouatta seniculus,Alouatta seniculus,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,49009,37400,-11609,11609,-23.687485971964332,0.7631251402803567,notable(5-100%)
Macaca mulatta,Macaca mulatta,NA,Cerebellum,Cerebellum_Vol.mm3,1,8965,7233.33333333333,-1731.6666666666697,1731.6666666666697,-19.31585796616475,0.8068414203383525,notable(5-100%)
Aotus trivirgatus,Aotus trivirgatus,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,16195,19125,2930,2930,18.092003704847176,1.1809200370484718,notable(5-100%)
Pongo sp.,Pongo pygmaeus,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Bornean,Cerebellum,Cerebellum_Vol.mm3,1,42900,49800,6900,6900,16.083916083916083,1.1608391608391608,notable(5-100%)
Perodicticus potto,Perodicticus potto,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,13212,11100,-2112,2112,-15.985467756584923,0.8401453224341507,notable(5-100%)
Cebus albifrons,Cebus albifrons,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,66939,77027,10088,10088,15.07043726377747,1.1507043726377746,notable(5-100%)
Pongo sp.,Pongo abelii,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Sumatran,Total_insula_volume_L,Insula_left_Vol.mm3,1,1158,1331.5,173.5,173.5,14.98272884283247,1.1498272884283247,notable(5-100%)
Gorilla gorilla,Gorilla gorilla,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,470359,401785,-68574,68574,-14.579076832802178,0.8542092316719783,notable(5-100%)
Erythrocebus patas,Erythrocebus patas,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,103167,89000,-14167,14167,-13.732104258144561,0.8626789574185544,notable(5-100%)
Pan troglodytes,Pan troglodytes,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,382103,330790,-51313,51313,-13.429101577323392,0.8657089842267661,notable(5-100%)
Hylobates lar,Hylobates lar,NA,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,1,4086.7,4574,487.3000000000002,487.3000000000002,11.92404629652287,1.1192404629652286,notable(5-100%)
Pongo sp.,Pongo pygmaeus,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Bornean,Total_insula_volume_L,Insula_left_Vol.mm3,1,1505,1331.5,-173.5,173.5,-11.528239202657808,0.8847176079734219,notable(5-100%)
Cercopithecus mitis,Cercopithecus mitis,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,150,167.2,17.19999999999999,17.19999999999999,11.46666666666666,1.1146666666666667,notable(5-100%)
Indri indri,Indri indri,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,36285,32481,-3804,3804,-10.4836709384043,0.895163290615957,notable(5-100%)
Erythrocebus patas,Erythrocebus patas,NA,Cerebellum,Cerebellum_Vol.mm3,1,8738,7900,-838,838,-9.5902952620737,0.904097047379263,notable(5-100%)
Saimiri sciureus,Saimiri sciureus,NA,Cerebellum,Cerebellum_Vol.mm3,1,2260,2050,-210,210,-9.29203539823009,0.9070796460176991,notable(5-100%)
Lophocebus albigena,Lophocebus albigena,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,97603,106660,9057,9057,9.279427886437917,1.0927942788643792,notable(5-100%)
Lophocebus albigena,Lophocebus albigena,NA,Cerebellum,Cerebellum_Vol.mm3,1,10726,11700,974,974,9.080738392690659,1.0908073839269066,notable(5-100%)
Hylobates lar,Hylobates lar,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,97505,88803,-8702,8702,-8.924670529716424,0.9107532947028357,notable(5-100%)
Homo sapiens,Homo sapiens,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,1251847,1357820,105973,105973,8.465331625989439,1.0846533162598944,notable(5-100%)
