variable,role,N,same,round,DIFF,S_only,w_only,med_ratio,max_pct,flag
Preferred brain volume,predictor,45,29,1,15,0,14,1,16,
Corpus geniculatum laterale,study3,48,38,5,5,1,1,1,37.2,
Area striata grey,study3,42,37,0,5,3,1,1,32.1,
Insular cortex (grey),study3,28,22,3,3,2,1,1,15,
Neocortex grey,study3,24,23,0,1,0,1,1,6.1,
Amygdala,study3,18,18,0,0,0,1,1,0,
Capsula interna,study3,25,25,0,0,1,1,1,0,
Cerebellum,study3,46,46,0,0,0,1,1,0,
Hippocampus,study3,46,46,0,0,0,1,1,0,
Mesencephalon,study3,46,46,0,0,0,1,1,0,
Neocortex white,study3,24,24,0,0,0,1,1,0,
Nucleus dentatus cerebelli,study3,44,44,0,0,0,0,1,0,
Nucleus subthalamicus Luysi,study3,25,25,0,0,1,1,1,0,
Pallidum,study3,26,26,0,0,1,2,1,0,
Striatum,study3,46,46,0,0,0,1,1,0,
