"Structure","Observed","Predicted_from_fitted_GLS_line","Observed_log10","Predicted_log10","Log10Diff","PropDiff","Direction","lambda","N"
"Corpus geniculatum laterale",335,1023.08535651774,2.52504480703685,3.00991186862734,-0.484867061590492,-0.672559090142551,"Smaller than Predicted",1,48
"Amygdala",3015,3901.50741321288,3.47928731647617,3.59123243645068,-0.11194511997451,-0.227221768235177,"Smaller than Predicted",1,17
"Pallidum",4711,10952.0803843301,3.67311310423823,4.0394966227029,-0.366383518464662,-0.569853412805449,"Smaller than Predicted",1,26
"Neocortex white",421819,490985.690279285,5.62512613777738,5.69106883484536,-0.0659426970679826,-0.140873128583322,"Smaller than Predicted",1,23
"Insular cortex (grey)",6165,7172.8015225235,3.78993308093175,3.85568881370657,-0.0657557327748153,-0.140503193816095,"Smaller than Predicted",1,29
"Nucleus subthalamicus Luysi",469,847.030874993344,2.67117284271508,2.92789924102121,-0.256726398306124,-0.446301175262725,"Smaller than Predicted",1,25
"Capsula interna",7008,13328.1350509184,3.84559409316002,4.12476938469082,-0.279175291530799,-0.474195003785086,"Smaller than Predicted",1,25
"Striatum",28689,62224.6623882745,4.45771541049588,4.79396254893982,-0.336247138443933,-0.538944866892422,"Smaller than Predicted",1,45
"Area striata grey",15247.5,27999.5287805938,4.18319864202974,4.44715072242401,-0.263952080394269,-0.455437263981103,"Smaller than Predicted",1,44
"Neocortex grey",584706,439325.221787673,5.76693755040223,5.6427861369525,0.124151413449728,0.330918351604656,"Larger than Predicted",1,23
"Mesencephalon",8087,10905.3428635762,3.90778744311062,4.03763932433181,-0.129851881221196,-0.258436887205946,"Smaller than Predicted",1,45
"Cerebellum",137421,204407.740818211,5.13805310453746,5.31049733828743,-0.172444233749967,-0.327711370176463,"Smaller than Predicted",1,45
"Hippocampus",10287,15838.4768621818,4.01228873983461,4.19971341449114,-0.187424674656534,-0.350505727948959,"Smaller than Predicted",1,45
"Nucleus dentatus cerebelli",1166.9,2174.59448849851,3.06703363984226,3.3373782829795,-0.270344643137233,-0.463394206978926,"Smaller than Predicted",1,43
