"Structure","Observed","Predicted_from_BM_mu_adjusted_equation","Observed_log10","Predicted_log10","Log10Diff","PropDiff","Direction","FittedLine_log","PhyloMu_log","Predicted_log","lambda","N"
"Corpus geniculatum laterale",335,902.945444617202,2.52504480703685,2.955661511313,-0.430616704276158,-0.628991981744787,"Smaller than Predicted",6.93057819992716,-0.124916064041585,6.80566213588557,1,48
"Amygdala",3015,3542.88727817181,3.47928731647617,3.54935733487714,-0.0700700184009695,-0.148999174042084,"Smaller than Predicted",8.26911827364802,-0.0964209846508455,8.17269728899718,1,17
"Pallidum",4711,16113.5908307187,3.67311310423823,4.20719233149264,-0.534079227254407,-0.70763810192952,"Smaller than Predicted",9.30128470663548,0.386133639218337,9.68741834585382,1,26
"Neocortex white",421819,517752.144375867,5.62512613777738,5.71412190628819,-0.0889957685108129,-0.18528777798016,"Smaller than Predicted",13.1041702623179,0.0530816586519873,13.1572519209699,1,23
"Insular cortex (grey)",6165,4212.49873767464,3.78993308093175,3.62453978373791,0.165393297193844,0.463501922235154,"Larger than Predicted",8.87805158566463,-0.532240310665869,8.34581127499877,1,29
"Nucleus subthalamicus Luysi",469,874.550062869541,2.67117284271508,2.94178467534206,-0.270611832626972,-0.463724239569391,"Smaller than Predicted",6.74173714616401,0.031972394076933,6.77370954024094,1,25
"Capsula interna",7008,13753.2639114693,3.84559409316002,4.1384057767501,-0.292811683590075,-0.490448227772623,"Smaller than Predicted",9.49763249722731,0.0313989530779103,9.52903145030522,1,25
"Striatum",28689,48535.9484611194,4.45771541049588,4.68606352077184,-0.228348110275956,-0.408912344156995,"Smaller than Predicted",11.0385067015606,-0.248446693808129,10.7900600077524,1,45
"Area striata grey",15247.5,18782.9508857347,4.18319864202974,4.27376382289906,-0.0905651808693184,-0.188226594811565,"Smaller than Predicted",10.2399429597512,-0.399238090166607,9.84070486958461,1,44
"Neocortex grey",584706,496397.632415503,5.76693755040223,5.69582970145011,0.0711078489521153,0.177898446362009,"Larger than Predicted",12.9929952419003,0.122137320891472,13.1151325627918,1,23
"Mesencephalon",8087,8487.30029878523,3.90778744311062,3.92876956871348,-0.0209821256028682,-0.0471646206323723,"Smaller than Predicted",9.29700811909298,-0.250681876364669,9.04632624272831,1,45
"Cerebellum",137421,161718.873890175,5.13805310453746,5.20876070851505,-0.0707076039775911,-0.150247607503598,"Smaller than Predicted",12.2278720075252,-0.234257247125327,11.9936147603999,1,45
"Hippocampus",10287,12371.1351300644,4.01228873983461,4.092409550729,-0.0801208108943898,-0.168467574571998,"Smaller than Predicted",9.67019750305442,-0.247076277119377,9.42312122593505,1,45
"Nucleus dentatus cerebelli",1166.9,1695.92838647074,3.06703363984226,3.22940750946714,-0.162373869624877,-0.311940286329932,"Smaller than Predicted",7.68459748407065,-0.248611893568588,7.43598559050206,1,43
