Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc
Corpus geniculatum laterale,Brownian (BM),1,500.12,787.34,1239.5,373.67,-0.3384115889895806,-1.1070706610327976,-2.3171759771872042,21,23.1
Corpus geniculatum laterale,Pagel's lambda (ML),1.12,486.36,817.44,1373.9,373.67,-0.3015999801394866,-1.1876257024247727,-2.67678725179192,21,23.1
Amygdala,Brownian (BM),1,2446,3603,5307.4,4545.8,0.4619203681928903,0.20739273904913486,-0.16753400979362731,18,22.2
Amygdala,Pagel's lambda (ML),0.74,2806.2,3830.1,5227.6,4545.8,0.382686965922611,0.15744632323875085,-0.1499784696509475,18,22.2
Pallidum,Brownian (BM),1,7638.9,10632,14798,4711,-0.6214962589896471,-1.2568767882557252,-2.141230088647401,10,21.9
Pallidum,Pagel's lambda (ML),0.882,7870.6,10675,14478,4711,-0.670678718838783,-1.2658987766270005,-2.073180503243835,10,21.9
Neocortex white,Brownian (BM),1,400200,760720,1446000,413900,0.03310098736941863,-0.8379402408808739,-2.4936681958738034,7,12.3
Neocortex white,Pagel's lambda (ML),-0.74,2650.9,3529,4697.9,413900,0.9935952892061904,0.9914738390202251,0.9886496949833709,7,12.3
Insular cortex (grey),Brownian (BM),1,3146,8695,24031,6479,0.5144362424449668,-0.34202092954839286,-2.7091322145100722,16,30.3
Insular cortex (grey),Pagel's lambda (ML),0.909,3773.2,9613.3,24493,6479,0.417630276115172,-0.483769037801333,-2.7803657491873426,16,30.3
Nucleus subthalamicus Luysi,Brownian (BM),1,573.3,796,1105.2,469,-0.222391871328773,-0.6972356846545,-1.356534787926338,10,25.2
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.01,571.22,795.42,1107.6,469,-0.21794796750743356,-0.6959862174655104,-1.3616519971042311,10,25.2
Capsula interna,Brownian (BM),1,7268.5,9986.9,13722,7008,-0.03717068573340731,-0.42506848553266324,-0.9580385527598271,10,25.5
Capsula interna,Pagel's lambda (ML),-0.518,15463,19456,24481,7008,-1.2064643259738757,-1.7762835324339787,-2.493258495834548,10,25.5
Striatum,Brownian (BM),1,10943,14176,18364,28689,0.6185806636678006,0.5058877436984077,0.3598989391172104,19,36.3
Striatum,Pagel's lambda (ML),1.03,10384,13383,17248,28689,0.6380582264451868,0.5335214293161807,0.3987920908657846,19,36.3
Area striata grey,Brownian (BM),1,19967,34895,60985,15464,-0.2912252863610291,-1.2566220895718443,-2.9438069475040995,17,35.8
Area striata grey,Pagel's lambda (ML),1.09,19309,35962,66977,15464,-0.2486596507668665,-1.3255798554434584,-3.3313016967617126,17,35.8
Neocortex grey,Brownian (BM),1,512200,736590,1059300,574360,0.10822517968113839,-0.28246618959814196,-0.8443215596447252,7,33.5
Neocortex grey,Pagel's lambda (ML),-0.608,105750,127910,154730,574360,0.815884019696407,0.7772906366222153,0.7306075200297528,7,33.5
Mesencephalon,Brownian (BM),1,3307.8,3660.9,4051.6,8087,0.5909707378782422,0.547313270282691,0.49899605177599526,19,25.3
Mesencephalon,Pagel's lambda (ML),0.501,5330.3,5904,6539.4,8087,0.3408782455432727,0.2699380540662249,0.19136268633718362,19,25.3
Cerebellum,Brownian (BM),1,37755,46361,56930,136800,0.7240238203308738,0.6611105456863353,0.5838551632147934,19,29.8
Cerebellum,Pagel's lambda (ML),1.05,35149,42900,52360,136800,0.7430662140812231,0.6864112348832179,0.6172635947591748,19,29.8
Hippocampus,Brownian (BM),1,2683.1,4142.3,6395,10287,0.7391826087541211,0.5973413470831274,0.3783620409883528,19,25.7
Hippocampus,Pagel's lambda (ML),-0.815,18486,25448,35031,10287,-0.7969708004956788,-1.4736867440631676,-2.405245152601215,19,25.7
Nucleus dentatus cerebelli,Brownian (BM),1,1136.9,1901.1,3179,1166.9,0.025687055239591118,-0.6292034041664651,-1.7242825279308076,17,24.2
Nucleus dentatus cerebelli,Pagel's lambda (ML),1.07,1070.1,1875.8,3287.8,1166.9,0.08291588523382327,-0.6074662970561578,-1.817569135226215,17,24.2
