Variable,slope,Observed,Predicted,Diff.pre,imputation
LGN_Sousa,0.7220493456028839,334.99999999999994,1071.6560856218116,-2.1989733899158557,1
Amygdala,0.6871059137783466,3015.0000000000014,3951.7171549724053,-0.310685623539769,1
Pallidum,1.0344758431417627,4710.999999999996,12131.806432750542,-1.5752083279028977,1
NeoW_Frahm,1.2908685292101476,421818.99999999994,376516.8657242381,0.10739709277145375,1
Total_insula_volume_L,0.9852862257690729,6164.9999999999945,12916.787431334193,-1.0951804430388004,1
Nucleus_subthalamicus,1.0548821461217532,468.9999999999999,1143.7422201168297,-1.438682772104115,1
Capsula_interna,1.0150373732400544,7007.999999999998,13165.53479006442,-0.8786436629658138,1
Striatum,0.9623966352472864,28689.00000000002,59195.11714911204,-1.063338462445955,1
ASG_Sousa,0.7727308897049968,15247.50000000001,26126.42984466427,-0.7134894143081985,1
NeoG_Frahm,0.8298033122820591,584705.9999999997,319183.7847361736,0.45411234922136295,1
Mesencephalon,0.6936112798256657,8087.000000000005,11217.43801501813,-0.3870950927436779,1
Cerebellum,1.0200306886558732,137421.0000000001,186620.0256618431,-0.3580167926433586,1
Hippocampus,0.7481732599439799,10286.999999999995,19530.927005389163,-0.8986028001739257,1
LGN_Sousa,0.7303168644410004,334.99999999999994,1113.1520899001748,-2.3228420594035075,2
Amygdala,0.6671575763647727,3015.0000000000014,3498.886521529568,-0.16049304196668876,2
Pallidum,1.061418886347714,4710.999999999996,13493.955096141495,-1.8643504767865646,2
NeoW_Frahm,1.315502455790215,421818.99999999994,381878.22654730134,0.09468699478377837,2
Total_insula_volume_L,1.08235137690035,6164.9999999999945,14102.305184600684,-1.287478537648126,2
Nucleus_subthalamicus,1.067151661094249,468.9999999999999,1129.7216621291802,-1.4087881921730927,2
Capsula_interna,1.031466272009145,7007.999999999998,13333.007019961815,-0.90254095604478,2
Striatum,0.9810643028423657,28689.00000000002,64019.606586887116,-1.231503593254804,2
ASG_Sousa,0.772728550188067,15247.50000000001,25523.95275343489,-0.6739762422321609,2
NeoG_Frahm,0.8734169756267806,584705.9999999997,365921.8697446757,0.3741780146865674,2
Mesencephalon,0.6935647545868449,8087.000000000005,11230.693983440575,-0.38873426282188306,2
Cerebellum,1.0070401061173047,137421.0000000001,176386.1508876995,-0.283545825512108,2
Hippocampus,0.7421821565405924,10286.999999999995,19186.973567725327,-0.8651670620905353,2
LGN_Sousa,0.7170878807919129,334.99999999999994,1052.2289079872562,-2.1409818148873323,3
Amygdala,0.6912546954149534,3015.0000000000014,3772.3188889327953,-0.2511837110888204,3
Pallidum,1.0312197577304116,4710.999999999996,12820.723646485993,-1.7214442043060927,3
NeoW_Frahm,1.3065697523820454,421818.99999999994,407909.69245886104,0.03297458753906036,3
Total_insula_volume_L,1.0183956148347868,6164.9999999999945,9870.954616129657,-0.6011280804752093,3
Nucleus_subthalamicus,1.035539358646909,468.9999999999999,914.9974599199618,-0.9509540723240129,3
Capsula_interna,1.0511664932032116,7007.999999999998,14518.82671616644,-1.0717503875808283,3
Striatum,0.9913844005511366,28689.00000000002,67329.24284685089,-1.3468661454512478,3
ASG_Sousa,0.78031287679953,15247.50000000001,25445.127367237543,-0.6688065169527809,3
NeoG_Frahm,0.9118406380811177,584705.9999999997,410984.3519709802,0.2971093986191686,3
Mesencephalon,0.7019006935540603,8087.000000000005,11631.11063314991,-0.43824788341163645,3
Cerebellum,1.014552797108111,137421.0000000001,181695.75619490613,-0.32218333584318276,3
Hippocampus,0.7309010950176975,10286.999999999995,18191.32951398765,-0.7683804329724565,3
LGN_Sousa,0.725892608998424,334.99999999999994,1085.4481605147053,-2.240143762730464,4
Amygdala,0.6768481119528604,3015.0000000000014,3646.223860700832,-0.20936114782780446,4
Pallidum,1.0458059135643076,4710.999999999996,13355.728489823034,-1.8350092315480884,4
NeoW_Frahm,1.2821280878378623,421818.99999999994,403576.87408018846,0.04324633532347165,4
Total_insula_volume_L,1.059181498787772,6164.9999999999945,15956.256718495426,-1.5882006031622773,4
Nucleus_subthalamicus,1.1011620497111994,468.9999999999999,1191.9253912780684,-1.5414187447293577,4
Capsula_interna,1.0453062158863504,7007.999999999998,14909.760007450552,-1.1275342476384924,4
Striatum,0.9707163239185698,28689.00000000002,61672.15264632475,-1.1496794118416365,4
ASG_Sousa,0.7823382575579636,15247.50000000001,26892.414460053496,-0.7637261492082952,4
NeoG_Frahm,0.8826428211825174,584705.9999999997,391767.37754004495,0.32997544485597,4
Mesencephalon,0.7022752424923336,8087.000000000005,11609.870908091207,-0.4356214799172994,4
Cerebellum,1.0299620713390112,137421.0000000001,195500.04140458256,-0.4226358519046029,4
Hippocampus,0.7469913995305957,10286.999999999995,19611.742152796145,-0.9064588463882721,4
LGN_Sousa,0.7137049645839173,334.99999999999994,1038.9843467246428,-2.101445811118337,5
Amygdala,0.6786979804399093,3015.0000000000014,4003.462112084835,-0.3278481300447208,5
Pallidum,1.0554152981545541,4710.999999999996,13259.414884585094,-1.81456482372853,5
NeoW_Frahm,1.3086455463410425,421818.99999999994,439937.1982232098,-0.04295254178500704,5
Total_insula_volume_L,0.9864266638197894,6164.9999999999945,14422.188235886744,-1.3393654883839021,5
Nucleus_subthalamicus,1.069270885896868,468.9999999999999,1154.7889912794017,-1.4622366551799615,5
Capsula_interna,1.042339288626442,7007.999999999998,14690.108517890676,-1.0961912839455878,5
Striatum,0.9739286407716805,28689.00000000002,62660.24114722421,-1.184120783130265,5
ASG_Sousa,0.7831049169642804,15247.50000000001,27085.474936482588,-0.7763879282821821,5
NeoG_Frahm,0.8371747623791219,584705.9999999997,323998.6918005044,0.44587760036581703,5
Mesencephalon,0.7043465302234098,8087.000000000005,11772.047421973706,-0.45567545715020397,5
Cerebellum,1.0138938240861775,137421.0000000001,181635.0888815194,-0.32174186537370036,5
Hippocampus,0.7493576971649364,10286.999999999995,19784.152365843333,-0.9232188554333959,5
LGN_Sousa,0.7222388052223744,334.99999999999994,1076.349223011603,-2.212982755258517,6
Amygdala,0.6666756360926691,3015.0000000000014,3770.273160741675,-0.25050519427584517,6
Pallidum,1.05648120177093,4710.999999999996,13681.01705567452,-1.9040579612979263,6
NeoW_Frahm,1.3252931288092313,421818.99999999994,415813.15898600395,0.014237957545762495,6
Total_insula_volume_L,1.097400205933767,6164.9999999999945,20076.471893070237,-2.256524232452596,6
Nucleus_subthalamicus,1.0633062918385137,468.9999999999999,1100.4320462543642,-1.3463369856169818,6
Capsula_interna,1.0498351223583553,7007.999999999998,14122.090868927327,-1.0151385372327812,6
Striatum,0.962189638033927,28689.00000000002,59316.25962901935,-1.06756107319946,6
ASG_Sousa,0.7850719219822259,15247.50000000001,27453.89058252862,-0.8005502923448831,6
NeoG_Frahm,0.8191136175630539,584705.9999999997,300567.48876645305,0.4859510783770763,6
Mesencephalon,0.6990590949270507,8087.000000000005,11481.94713989437,-0.419803034486752,6
Cerebellum,1.0214101257112127,137421.0000000001,188391.62542032189,-0.37090856143036194,6
Hippocampus,0.7581503236308519,10286.999999999995,20684.474901975216,-1.0107392730606812,6
LGN_Sousa,0.7171385296236265,334.99999999999994,1050.0291033822061,-2.134415233976735,7
Amygdala,0.6965277293684128,3015.0000000000014,4115.989543812321,-0.3651706612976184,7
Pallidum,1.0307680017286203,4710.999999999996,12170.358445233205,-1.583391731104482,7
NeoW_Frahm,1.3403953262517891,421818.99999999994,456650.111399079,-0.08257359530765337,7
Total_insula_volume_L,0.99266057851734,6164.9999999999945,9324.39267282847,-0.5124724530135406,7
Nucleus_subthalamicus,1.0718085697298823,468.9999999999999,1082.4644517610268,-1.3080265495970727,7
Capsula_interna,1.054122741357683,7007.999999999998,15231.478445768209,-1.1734415590422678,7
Striatum,0.9861210153967181,28689.00000000002,65791.56998331293,-1.2932681509746904,7
ASG_Sousa,0.773470005506382,15247.50000000001,26397.95742007355,-0.7312974205655705,7
NeoG_Frahm,0.8858849158531854,584705.9999999997,375335.4020826163,0.3580784153358842,7
Mesencephalon,0.7012445650582859,8087.000000000005,11572.459154990916,-0.4309953202659713,7
Cerebellum,1.0194384704289952,137421.0000000001,186308.0167015864,-0.35574633208597145,7
Hippocampus,0.7456087564178596,10286.999999999995,19416.420677326703,-0.8874716318972211,7
LGN_Sousa,0.7180872267795518,334.99999999999994,1053.63509092188,-2.145179375886209,8
Amygdala,0.6768892875855087,3015.0000000000014,3846.390397203498,-0.2757513755235477,8
Pallidum,1.0562278767564006,4710.999999999996,13572.733567846202,-1.8810727165880308,8
NeoW_Frahm,1.3023348902222733,421818.99999999994,428128.40008201584,-0.014957600492191908,8
Total_insula_volume_L,0.9994137587164489,6164.9999999999945,12978.120451018161,-1.105129026929144,8
Nucleus_subthalamicus,1.0591225879419168,468.9999999999999,1040.037872411179,-1.2175647599385486,8
Capsula_interna,1.035695670305707,7007.999999999998,14512.5604577975,-1.0708562297085478,8
Striatum,0.9653181078319186,28689.00000000002,59876.44716331425,-1.0870872865319188,8
ASG_Sousa,0.7766637482117748,15247.50000000001,26454.090329617666,-0.734978870609454,8
NeoG_Frahm,0.8808563487801996,584705.9999999997,365576.32547916594,0.3747689856454934,8
Mesencephalon,0.6988524995823949,8087.000000000005,11433.953713447721,-0.4138683953811939,8
Cerebellum,1.0294120217161389,137421.0000000001,195372.25371783323,-0.421705952640667,8
Hippocampus,0.7321649574093193,10286.999999999995,18491.314767349657,-0.7975420207397362,8
LGN_Sousa,0.7196424907642156,334.99999999999994,1063.0033228891948,-2.1731442474304328,9
Amygdala,0.6715780144235026,3015.0000000000014,3739.6692304189564,-0.2403546369548772,9
Pallidum,1.0266461073554403,4710.999999999996,12117.872603542808,-1.5722506057191292,9
NeoW_Frahm,1.3229669811826397,421818.99999999994,439021.00462392764,-0.04078053530999719,9
Total_insula_volume_L,1.0503929006115993,6164.9999999999945,20341.23319253934,-2.29947010422374,9
Nucleus_subthalamicus,1.0443324286056819,468.9999999999999,994.9752005261925,-1.121482303893801,9
Capsula_interna,1.006788002237533,7007.999999999998,13178.644570470826,-0.8805143508091937,9
Striatum,0.9734708839680448,28689.00000000002,62297.825359209215,-1.171488213573466,9
ASG_Sousa,0.7796905974008975,15247.50000000001,27082.879121765374,-0.776217683014616,9
NeoG_Frahm,0.8548632759133258,584705.9999999997,337512.88410013804,0.4227648012845118,9
Mesencephalon,0.7135581024108824,8087.000000000005,12232.57314483522,-0.5126218801576867,9
Cerebellum,1.0210261127715943,137421.0000000001,187606.02483997925,-0.3651918181353587,9
Hippocampus,0.7411512787938809,10286.999999999995,19113.03658383306,-0.8579796426395521,9
LGN_Sousa,0.7257848799134906,334.99999999999994,1086.1592210433569,-2.2422663314727074,10
Amygdala,0.6780360804965023,3015.0000000000014,3759.387462867604,-0.24689468088477687,10
Pallidum,1.0381424912785429,4710.999999999996,12743.956488004193,-1.705148904267502,10
NeoW_Frahm,1.287748284260607,421818.99999999994,419882.2825127579,0.0045913472063657985,10
Total_insula_volume_L,1.018218419831915,6164.9999999999945,11630.3439165825,-0.8865115841982986,10
Nucleus_subthalamicus,1.063165231341935,468.9999999999999,996.3145112696591,-1.1243379771208089,10
Capsula_interna,1.0626728414111144,7007.999999999998,15856.655557788044,-1.2626506218304865,10
Striatum,0.9632945114788655,28689.00000000002,59186.74167716683,-1.0630465222617307,10
ASG_Sousa,0.7724825613311814,15247.50000000001,26756.53688746443,-0.7548146835523472,10
NeoG_Frahm,0.8552665382772705,584705.9999999997,315899.0316758822,0.4597301350150634,10
Mesencephalon,0.6995125941976428,8087.000000000005,11478.145370862194,-0.41933292578980924,10
Cerebellum,1.0280548490921138,137421.0000000001,193838.30077021255,-0.4105435178772707,10
Hippocampus,0.7409813204490384,10286.999999999995,18870.43588459492,-0.8343964114508536,10
LGN_Sousa,0.7308546716525967,334.99999999999994,1116.0476398156738,-2.3314854919870864,11
Amygdala,0.6884289333785155,3015.0000000000014,4094.4505065423505,-0.35802670200409575,11
Pallidum,1.0866136523528231,4710.999999999996,15612.242476797983,-2.313997553979621,11
NeoW_Frahm,1.3155668029684933,421818.99999999994,434028.5947601686,-0.0289451038482587,11
Total_insula_volume_L,0.9977081704432146,6164.9999999999945,12357.47398139052,-1.0044564446699968,11
Nucleus_subthalamicus,1.0530598882677993,468.9999999999999,966.4533259727848,-1.060668072436642,11
Capsula_interna,1.0649848396527333,7007.999999999998,16314.355122874471,-1.327961632830262,11
Striatum,0.9799968569243293,28689.00000000002,63985.612537202454,-1.2303186774444008,11
ASG_Sousa,0.7748422134326824,15247.50000000001,25129.727381975998,-0.6481211596639438,11
NeoG_Frahm,0.8730200095726467,584705.9999999997,356183.8641833792,0.39083254800980416,11
Mesencephalon,0.7015517782936959,8087.000000000005,11610.425303131524,-0.43569003377414584,11
Cerebellum,1.0242442214536567,137421.0000000001,190379.30924863776,-0.3853727541542969,11
Hippocampus,0.7404030394488628,10286.999999999995,18996.734011317967,-0.8466738613121393,11
LGN_Sousa,0.719680122329362,334.99999999999994,1063.1155223394264,-2.1734791711624672,12
Amygdala,0.6734386469574403,3015.0000000000014,3639.7158714357374,-0.20720261075812133,12
Pallidum,1.0472014831358862,4710.999999999996,13206.968391939168,-1.8034320509316872,12
NeoW_Frahm,1.3213308591907862,421818.99999999994,424656.4566746338,-0.006726716138044609,12
Total_insula_volume_L,1.113993910481877,6164.9999999999945,19597.40424855643,-2.178816585329513,12
Nucleus_subthalamicus,1.0668458078382759,468.9999999999999,1047.2119902031684,-1.2328613863607008,12
Capsula_interna,1.0477753367572875,7007.999999999998,15113.323758716828,-1.1565815865748903,12
Striatum,0.9987002069984182,28689.00000000002,69547.72426305736,-1.4241947876558025,12
ASG_Sousa,0.787954246336486,15247.50000000001,25146.106858067047,-0.6491953997748504,12
NeoG_Frahm,0.8287476179572687,584705.9999999997,308456.55331481446,0.4724587171761284,12
Mesencephalon,0.7020737182746024,8087.000000000005,11664.878526808536,-0.44242346071578204,12
Cerebellum,1.0232735579738772,137421.0000000001,190317.90691910687,-0.3849259350398174,12
Hippocampus,0.7421419158735489,10286.999999999995,19314.576329756495,-0.877571335642705,12
LGN_Sousa,0.7191119818784174,334.99999999999994,1054.0154167395815,-2.1463146768345718,13
Amygdala,0.6880543416920141,3015.0000000000014,4024.288386185922,-0.3347556836437546,13
Pallidum,1.055562823201327,4710.999999999996,13587.941857547632,-1.8843009674267974,13
NeoW_Frahm,1.2942859707915813,421818.99999999994,367819.26444250555,0.12801636616059114,13
Total_insula_volume_L,1.0417887414708102,6164.9999999999945,15184.407211946052,-1.4630019808509434,13
Nucleus_subthalamicus,1.0555517085766042,468.9999999999999,1062.4389142326609,-1.2653281753361645,13
Capsula_interna,1.0412589027545007,7007.999999999998,14078.614833365737,-1.0089347650350657,13
Striatum,0.9708110364572624,28689.00000000002,61692.48872333939,-1.1503882576367022,13
ASG_Sousa,0.7741452046117675,15247.50000000001,27562.607515185926,-0.8076804404122584,13
