Species,Stephan_col,Merged_col,Stephan_value,Merged_value,abs_diff,pct_diff,merged_teams,match_cat
Alouatta_seniculus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,49009,43204.5,-5804.5,-11.84374299,Stephan_collection; Zilles,notable(5-100%)
Aotus_trivirgatus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,16195,14181.75,-2013.25,-12.43130596,Ashwell; Bush; Stephan_collection; Zilles,notable(5-100%)
Ateles_geoffroyi,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,101034,101867,833,0.8244749292317438,Stephan_collection; Zilles,close(0.5-2%)
Avahi_laniger,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9798,9798,0,0,Stephan_collection,exact(<0.5%)
Avahi_occidentalis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,9124,9190.4,66.39999999999964,0.7277509864094656,Stephan_collection; Zilles,close(0.5-2%)
Callimico_goeldii,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,10510,10510,0,0,Stephan_collection,exact(<0.5%)
Callithrix_jacchus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,7241,6313,-928,-12.8159094,Ashwell; Stephan_collection,notable(5-100%)
Callithrix_pygmaea,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,4302,4302,0,0,Stephan_collection,exact(<0.5%)
Cebus_albifrons,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,66939,71983,5044,7.535218631888735,Stephan_collection; Zilles,notable(5-100%)
Cercopithecus_ascanius,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,63505,63505,0,0,Stephan_collection,exact(<0.5%)
Cercopithecus_mitis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,70564,69838,-726,-1.02885324,Stephan_collection; Zilles,close(0.5-2%)
Cheirogaleus_major,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,6373,6373,0,0,Stephan_collection,exact(<0.5%)
Cheirogaleus_medius,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,2961,2795.5,-165.5,-5.58932793,Bush; Stephan_collection,notable(5-100%)
Daubentonia_madagascariensis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,42611,41840.5,-770.5,-1.808218535,Bush; Stephan_collection,close(0.5-2%)
Erythrocebus_patas,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,103167,96083.5,-7083.5,-6.866052129,Stephan_collection; Zilles,notable(5-100%)
Eulemur_fulvus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,22106,22106,0,0,Stephan_collection,exact(<0.5%)
Galago_senegalensis,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,4512,4046,-466,-10.32801418,Bush; Stephan_collection,notable(5-100%)
Galagoides_demidoff,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,3203,3194.15,-8.85,-0.276303466,Stephan_collection; Zilles,exact(<0.5%)
Gorilla_gorilla,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,470359,437433,-32926,-7.000184965,Stephan_collection,notable(5-100%)
Homo_sapiens,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1251847,1267579.6025641025,15732.602564102504,1.2567512295114742,Bush; RillingInsel; Stephan_collection; Zilles,close(0.5-2%)
Hylobates_lar,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,97505,94169.65,-3335.35,-3.420696375,Bush; RillingInsel; Stephan_collection; Zilles,minor(2-5%)
Indri_indri,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,36285,34383,-1902,-5.241835469,Stephan_collection; Zilles,notable(5-100%)
Lagothrix_lagotricha,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,95503,95503,0,0,Stephan_collection,exact(<0.5%)
Lepilemur_ruficaudatus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,7175,7175,0,0,Stephan_collection,exact(<0.5%)
Lophocebus_albigena,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,97603,103466.5,5863.5,6.007499769474299,Stephan_collection; Zilles,notable(5-100%)
Loris_tardigradus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,6269,6440.5,171.5,2.7356835220928377,Stephan_collection; Zilles,minor(2-5%)
Macaca_mulatta,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,87896,81892.75,-6003.25,-6.829946755,Bush; RillingInsel; Stephan_collection; Zilles,notable(5-100%)
Microcebus_murinus,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1680,1665,-15,-0.892857143,Bush; Stephan_collection,close(0.5-2%)
Miopithecus_talapoin,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,37776,37776,0,0,Stephan_collection,exact(<0.5%)
