"Structure","Observed","Predicted_from_BM_mu_adjusted_equation","Observed_log10","Predicted_log10","Log10Diff","PropDiff","Direction","FittedLine_log","PhyloMu_log","Predicted_log","lambda","N"
"Corpus geniculatum laterale",335,438.267832043162,2.52504480703685,2.64173959550262,-0.11669478846577,-0.235627222654553,"Smaller than Predicted",6.95678643391326,-0.873956221736815,6.08283021217644,1,46
"Amygdala",3015,6905.79081789939,3.47928731647617,3.83921341907456,-0.359926102598386,-0.563409886064707,"Smaller than Predicted",8.32031743720489,0.519798150378884,8.84011558758377,1,17
"Pallidum",4711,6620.60133989322,3.67311310423823,3.82089743758723,-0.147784333349001,-0.288433216539817,"Smaller than Predicted",9.35772208900484,-0.559780607357321,8.79794148164751,1,26
"Neocortex white",421819,664015.191301308,5.62512613777738,5.82217801524582,-0.197051877468445,-0.364744955347577,"Smaller than Predicted",13.179499639907,0.226560666755698,13.4060603066627,1,23
"Insular cortex (grey)",6479,6880.8059516274,3.81150797994533,3.83763931030595,-0.0261313303606276,-0.0583951871993091,"Smaller than Predicted",8.81752287457672,0.0189681936217251,8.83649106819844,1,27
"Nucleus subthalamicus Luysi",469,624.885218159381,2.67117284271508,2.7958002514273,-0.124627408712219,-0.249462163016988,"Smaller than Predicted",6.79912932476252,-0.36156134283701,6.43756798192551,1,25
"Capsula interna",7008,9814.1973908208,3.84559409316002,3.99185478860334,-0.146260695443315,-0.285932438392307,"Smaller than Predicted",9.55248039930294,-0.360895069667995,9.19158532963495,1,25
"Striatum",28689,37491.2753984943,4.45771541049588,4.57393021473755,-0.116214804241666,-0.234781967402683,"Smaller than Predicted",11.0704911768265,-0.538627647976786,10.5318635288497,1,44
"Area striata grey",14787,16939.2878504424,4.16988007287439,4.22889514807707,-0.0590150752026872,-0.12705893361309,"Smaller than Predicted",10.2449729835894,-0.507582055792313,9.73739092779712,1,40
"Neocortex grey",584706,649723.068462588,5.76693755040223,5.8127282866948,-0.0457907362925738,-0.100068893377042,"Smaller than Predicted",13.0836608127165,0.30064068985174,13.3843015025683,1,23
"Mesencephalon",8087,6581.26973408927,3.90778744311062,3.81830969077355,0.0894777523370696,0.228790237560305,"Larger than Predicted",9.33594080147659,-0.543957827066719,8.79198297440987,1,44
"Cerebellum",137016.666666667,110310.978077721,5.13677339782151,5.04261873529901,0.0941546625224943,0.242094568050431,"Larger than Predicted",12.3207033134889,-0.709644583936924,11.611058729552,1,45
"Hippocampus",10287,9699.94591231987,4.01228873983461,3.98676931261197,0.0255194272226413,0.0605213774372197,"Larger than Predicted",9.71166778191464,-0.53179219348821,9.17987558842643,1,44
"Nucleus dentatus cerebelli",1166.9,692.775476404439,3.06703363984226,2.84059250566816,0.226441134174101,0.684384103860468,"Larger than Predicted",7.72779956682065,-1.18709360799854,6.54070595882211,1,42
