"anatomy_group","n_Astrocyte","n_Bergmann glia","n_Choroid plexus","n_Committed oligodendrocyte precursor","n_Ependymal","n_Fibroblast","n_Microglia","n_Oligodendrocyte","n_Oligodendrocyte precursor","n_Vascular","p_Astrocyte","p_Bergmann glia","p_Choroid plexus","p_Committed oligodendrocyte precursor","p_Ependymal","p_Fibroblast","p_Microglia","p_Oligodendrocyte","p_Oligodendrocyte precursor","p_Vascular","n_all_nonneurons"
"Basal forebrain",4276,1,6116,114,773,710,1678,8600,2593,270,0.170148422267319,3.97914925788866e-05,0.243364768612471,0.00453623015399308,0.0307588237634794,0.0282519597310095,0.0667701245473718,0.342206836178425,0.103179340257053,0.0107437029962994,25131
"Caudatum",753,0,0,16,113,16,181,1281,406,21,0.270182992465016,0,0,0.00574094007893793,0.0405453893074991,0.00574094007893793,0.0649443846429853,0.459634015069968,0.14567635450305,0.00753498385360603,2787
"Cerebellar cortex",108,1070,0,2,0,69,241,1103,564,61,0.033561218147918,0.332504661280298,0,0.000621504039776259,0,0.0214418893722809,0.0748912367930391,0.342759477936607,0.175264139216905,0.0189558732131759,3218
"Colliculus inferior",627,28,1,22,64,74,611,2007,803,53,0.146153846153846,0.00652680652680653,0.000233100233100233,0.00512820512820513,0.0149184149184149,0.0172494172494173,0.142424242424242,0.467832167832168,0.187179487179487,0.0123543123543124,4290
"Colliculus superior",657,0,1,24,36,41,274,1193,478,37,0.239693542502736,0,0.000364830353885443,0.00875592849325064,0.013133892739876,0.0149580445093032,0.0999635169646115,0.435242612185334,0.174388909157242,0.0134987230937614,2741
"Corpus amygdaloideum",8216,0,0,490,492,291,3872,15841,7028,337,0.224683457762463,0,0,0.0134000601635354,0.0134547542866519,0.00795799491344655,0.105887822353488,0.43320480214401,0.19219514863128,0.00921595974512539,36567
"Corpus geniculatum laterale",1219,0,1,78,0,452,436,5281,779,349,0.141826643397324,0,0.000116346713205352,0.00907504363001745,0,0.0525887143688191,0.0507271669575335,0.614426992437464,0.0906340895869692,0.0406050029086678,8595
"Corpus geniculatum mediale",299,0,0,2,1,32,185,2949,204,19,0.0810078569493362,0,0,0.000541858574911948,0.000270929287455974,0.00866973719859117,0.0501219181793552,0.798970468707667,0.0552695746410187,0.00514765646166351,3691
"Frontal lobe",6824,0,1,129,0,134,2056,10358,3659,244,0.291561632129887,0,4.27259132663961e-05,0.00551164281136509,0,0.00572527237769707,0.0878444776757103,0.44255500961333,0.156334116641743,0.0104251228370006,23405
"Hippocampus",27778,0,68,594,1929,685,11293,49888,16581,1164,0.252573195126387,0,0.000618294235315512,0.00540098199672668,0.0175395526459356,0.00622840516457538,0.102682305873795,0.453609747226769,0.15076377523186,0.0105837424986361,109980
"Insular lobe",2763,0,0,54,0,81,1105,3336,1732,125,0.30045672031318,0,0,0.0058721183123097,0,0.00880817746846455,0.12016093953893,0.362766420182688,0.188342757720748,0.0135928664636799,9196
"Nucleus accumbens",707,0,0,24,94,10,166,1164,538,17,0.259926470588235,0,0,0.00882352941176471,0.0345588235294118,0.00367647058823529,0.0610294117647059,0.427941176470588,0.197794117647059,0.00625,2720
"Nucleus dentatus cerebelli",6267,19,2,45,17,182,3304,16946,1729,141,0.21872818651403,0.000663129973474801,6.98031551026106e-05,0.00157057098980874,0.00059332681837219,0.00635208711433757,0.115314812229513,0.59144213318442,0.0603448275862069,0.00492112243473405,28652
"Nucleus medial thalami",1097,0,2,31,152,186,847,4628,714,178,0.140012763241863,0,0.000255264837268666,0.00395660497766433,0.0194001276324186,0.023739629865986,0.10810465858328,0.590682833439694,0.0911295469049138,0.0227185705169113,7835
"Nucleus ruber",344,1,0,6,0,26,157,2133,281,25,0.115708039017827,0.000336360578540195,0,0.00201816347124117,0,0.00874537504204507,0.0528086108308106,0.717457114026236,0.0945173225697948,0.00840901446350488,2973
"Nucleus subthalamicus",1312,0,0,20,0,154,836,16182,985,70,0.0670790940232118,0,0,0.00102254716498799,0,0.00787361317040748,0.0427424714964978,0.827342911191779,0.0503604478756583,0.00357891507745795,19559
"Occipital lobe",3297,0,0,56,0,63,1042,5391,1528,123,0.286695652173913,0,0,0.0048695652173913,0,0.00547826086956522,0.0906086956521739,0.468782608695652,0.132869565217391,0.010695652173913,11500
"Pallidum",11736,1,0,250,0,349,16569,33123,2889,415,0.179636319108553,1.53064348252005e-05,0,0.00382660870630013,0,0.00534194575399498,0.253612318618747,0.506995040715117,0.0442202902100043,0.00635217045245821,65332
"Parietal lobe",3506,0,1,50,1,73,1301,5840,1456,102,0.284347120843471,0,8.110300081103e-05,0.0040551500405515,8.110300081103e-05,0.00592051905920519,0.10551500405515,0.473641524736415,0.11808596918086,0.00827250608272506,12330
"Putamen",865,0,0,17,0,58,291,2000,398,46,0.235374149659864,0,0,0.00462585034013605,0,0.0157823129251701,0.0791836734693878,0.54421768707483,0.108299319727891,0.0125170068027211,3675
"Substantia nigra",5312,0,0,62,3,191,6555,34626,3871,217,0.104490823612723,0,0,0.00121958416114247,5.90121368294746e-05,0.00375710604480988,0.128941518972402,0.681118083285796,0.0761453272222987,0.00426854456399866,50837
"Temporal lobe",15506,0,1,295,0,436,6390,31119,9022,459,0.245239450876194,0,1.58157778199532e-05,0.00466565445688619,0,0.00689567912949959,0.101062820269501,0.492171189979123,0.142689947491618,0.00725944201935851,63228
"Vermis",203,6614,0,30,1,173,1431,4357,3862,462,0.0118484795424035,0.386038638884025,0,0.00175100682892663,5.83668942975544e-05,0.0100974727134769,0.0835230257398004,0.254304558454445,0.225412945777155,0.0269655051654701,17133
