"anatomy_id","anatomy_group","rcmr_value","EI_definition","anatomical_analysis_scope","comparison_role","EI_ratio","n_donors_EI","n_cells_EI_total","cerebral_cortex_scope","is_cerebral_cortex","is_neocortex","is_telencephalon","division","MSN_included_in_denominator","p_E","p_I","p_I_interneuron","p_I_MSN","p_I_all_with_MSN","EI_ratio_no_MSN","EI_ratio_with_MSN","MSN_fraction_of_broad_I","delta_EI_with_MSN_minus_no_MSN"
"basal_forebrain","Basal forebrain",21.4,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",0.917695682447329,3,41623,"Outside cerebral cortex",FALSE,FALSE,TRUE,"Telencephalon",FALSE,0.10445524375941,0.113823401109229,0.113823401109229,0.78172135513136,0.89554475624059,0.917695682447329,0.116638775484436,0.872900376763917,-0.801056906962893
"caudate_nucleus","Caudatum",32.6,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",0.0303757233086382,3,27370,"Outside cerebral cortex",FALSE,FALSE,TRUE,"Telencephalon",FALSE,0.0002390215938827,0.00786883628923258,0.00786883628923258,0.991892142116885,0.999760978406117,0.0303757233086382,0.000239078738863927,0.992129282439311,-0.0301366445697743
"cerebellar_cortex","Cerebellar cortex",29.8,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",23.4531292667605,3,24797,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",FALSE,0.959105438445487,0.040894561554513,0.040894561554513,0,0.040894561554513,23.4531292667605,23.4531292667605,0,0
"inferior_colliculus","Colliculus inferior",31.4,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",1.0608508066572,3,11488,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",FALSE,0.514763515743264,0.485236484256736,0.485236484256736,0,0.485236484256736,1.0608508066572,1.0608508066572,0,0
"superior_colliculus","Colliculus superior",24.4,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",0.0453808344991399,3,6800,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",FALSE,0.0434108154669611,0.956589184533039,0.956589184533039,0,0.956589184533039,0.0453808344991399,0.0453808344991399,0,0
"amygdala","Corpus amygdaloideum",22.2,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",2.46034330395413,3,166567,"Cerebral cortex, non-neocortical",TRUE,FALSE,TRUE,"Telencephalon",FALSE,0.539106356910403,0.21911834663235,0.21911834663235,0.241775296457246,0.460893643089597,2.46034330395413,1.16969796610018,0.524579368976555,-1.29064533785395
"lateral_geniculate_nucleus","Corpus geniculatum laterale",23.1,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",1.79426867096926,3,37199,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",FALSE,0.642054115766185,0.357836106796286,0.357836106796286,0.000109777437529087,0.357945884233815,1.79426867096926,1.79371839165159,0.000306687246213393,-0.000550279317666602
"medial_geniculate_nucleus","Corpus geniculatum mediale",20.2,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",0.391810807835472,2,8871,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",FALSE,0.281511542825861,0.718488457174139,0.718488457174139,0,0.718488457174139,0.391810807835472,0.391810807835472,0,0
"frontal_lobe","Frontal lobe",35.3,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",1.97627449749123,4,274697,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",FALSE,0.663765212271326,0.335866911764503,0.335866911764503,0.000367875964171295,0.336234787728674,1.97627449749123,1.97411224684744,0.00109410441036266,-0.00216225064379238
"hippocampus","Hippocampus",25.7,"Broad all-region E:I (MSN excluded)","All mapped brain regions","Broad reference",3.31465020800685,3,229617,"Cerebral cortex, non-neocortical",TRUE,FALSE,TRUE,"Telencephalon",FALSE,0.766110171409493,0.23112851231146,0.23112851231146,0.00276131627904695,0.233889828590507,3.31465020800685,3.27551726394565,0.0118060554222794,-0.0391329440611985
