"anatomy_id","anatomy_group","rcmr_value","cerebral_cortex_scope","is_cerebral_cortex","is_neocortex","is_telencephalon","division","p_E","p_I_interneuron","p_I_MSN","p_I_all_with_MSN","MSN_fraction_of_broad_I","EI_ratio_no_MSN","EI_ratio_with_MSN","delta_EI_with_MSN_minus_no_MSN"
"nucleus_accumbens","Nucleus accumbens",32.3,"Outside cerebral cortex",FALSE,FALSE,TRUE,"Telencephalon",0.00178497207093856,0.00544657738668929,0.992768450542372,0.998215027929061,0.994543683240284,0.327723622416675,0.0017881638935468,-0.325935458523128
"caudate_nucleus","Caudatum",32.6,"Outside cerebral cortex",FALSE,FALSE,TRUE,"Telencephalon",0.0002390215938827,0.00786883628923258,0.991892142116885,0.999760978406117,0.992129282439311,0.0303757233086382,0.000239078738863927,-0.0301366445697743
"putamen","Putamen",40.2,"Outside cerebral cortex",FALSE,FALSE,TRUE,"Telencephalon",0.0299717720019336,0.025711014959684,0.944317213038382,0.970028227998066,0.97349457034591,1.16571718576379,0.0308978348638256,-1.13481935089997
"pallidum","Pallidum",21.9,"Outside cerebral cortex",FALSE,FALSE,TRUE,"Telencephalon",0.119101776908611,0.065807948722817,0.815090274368572,0.880898223091389,0.925294492601117,1.80983876902573,0.135204923550237,-1.67463384547549
"basal_forebrain","Basal forebrain",21.4,"Outside cerebral cortex",FALSE,FALSE,TRUE,"Telencephalon",0.10445524375941,0.113823401109229,0.78172135513136,0.89554475624059,0.872900376763917,0.917695682447329,0.116638775484436,-0.801056906962893
"amygdala","Corpus amygdaloideum",22.2,"Cerebral cortex, non-neocortical",TRUE,FALSE,TRUE,"Telencephalon",0.539106356910403,0.21911834663235,0.241775296457246,0.460893643089597,0.524579368976555,2.46034330395413,1.16969796610018,-1.29064533785395
"hippocampus","Hippocampus",25.7,"Cerebral cortex, non-neocortical",TRUE,FALSE,TRUE,"Telencephalon",0.766110171409493,0.23112851231146,0.00276131627904695,0.233889828590507,0.0118060554222794,3.31465020800685,3.27551726394565,-0.0391329440611985
"temporal_lobe","Temporal lobe",30.5,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",0.646961408310791,0.349480929371436,0.00355766231777338,0.353038591689209,0.0100772618108144,1.8512066151203,1.83255152139382,-0.0186550937264789
"insular_lobe","Insular lobe",30.3,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",0.676933212935536,0.321561717261311,0.00150506980315288,0.323066787064464,0.00465869554969933,2.10514242398276,2.09533520634067,-0.0098072176420918
"substantia_nigra","Substantia nigra",22.8,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",0.239843559118481,0.758294243488595,0.00186219739292365,0.760156440881519,0.00244975546186801,0.316293524813087,0.315518683023123,-0.000774841789964398
"frontal_lobe","Frontal lobe",35.3,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",0.663765212271326,0.335866911764503,0.000367875964171295,0.336234787728674,0.00109410441036266,1.97627449749123,1.97411224684744,-0.00216225064379238
"dentate_nucleus","Nucleus dentatus cerebelli",24.2,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",0.88484377009426,0.115119168160873,3.70617448669483e-05,0.11515622990574,0.000321838817554942,7.6863287342186,7.68385497526744,-0.00247375895115987
"lateral_geniculate_nucleus","Corpus geniculatum laterale",23.1,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",0.642054115766185,0.357836106796286,0.000109777437529087,0.357945884233815,0.000306687246213393,1.79426867096926,1.79371839165159,-0.000550279317666602
"parietal_lobe","Parietal lobe",35.8,"Neocortex",TRUE,TRUE,TRUE,"Telencephalon",0.648835286838362,0.351109969479707,5.47436819316806e-05,0.351164713161638,0.000155891750736591,1.8479546103457,1.84766652946621,-0.000288080879488728
"medial_thalamic_nuclei","Nucleus medial thalami",36.6,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",0.381137538022726,0.618826194614274,3.62673630000363e-05,0.618862461977274,5.86032684615602e-05,0.615904015278953,0.6158679212906,-3.60939883539135e-05
"cerebellar_cortex","Cerebellar cortex",29.8,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",0.959105438445487,0.040894561554513,0,0.040894561554513,0,23.4531292667605,23.4531292667605,0
"inferior_colliculus","Colliculus inferior",31.4,"Outside cerebral cortex",FALSE,FALSE,FALSE,"Non-telencephalon",0.514763515743264,0.485236484256736,0,0.485236484256736,0,1.0608508066572,1.0608508066572,0
