"anatomy_group","p_Excitatory_projection","p_Inhibitory_interneuron","p_Inhibitory_projection_MSN","p_Miscellaneous","p_Splatter"
"Basal forebrain",0.0885711962068798,0.0922990383328704,0.568223605663041,0.00362305226194972,0.247283107535259
"Caudatum",0.000216789271745968,0.0071659409666043,0.907853824971811,0,0.0847634447898383
"Cerebellar cortex",0.959008821693237,0.0408866031433646,0,5.22875816993464e-05,5.22875816993464e-05
"Colliculus inferior",0.291466567311294,0.0971506088932144,0,6.45807845174324e-05,0.611318243010974
"Colliculus superior",0.0106494614288491,0.23071911458315,0,0.0379112075314898,0.720720216456511
"Corpus amygdaloideum",0.483755760921208,0.197469055349243,0.217897522734289,0.00397789824097873,0.0968997627542808
"Corpus geniculatum laterale",0.588726800215815,0.31944177096223,9.83418107872045e-05,0.000182553332567593,0.0915505336785998
"Corpus geniculatum mediale",0.248929003752647,0.630794931366917,0,0.00176006758659533,0.118515997293841
"Frontal lobe",0.657410502762847,0.332857537955045,0.000365148940606992,0.00711073727494804,0.00225607306655345
"Hippocampus",0.740432632218038,0.222930592929213,0.00269301037266659,0.0306176162118973,0.00332614826818475
"Insular lobe",0.668202312764077,0.317477972142505,0.00148517587078304,0.00987997509662402,0.00295456412601074
"Nucleus accumbens",0.00155824095893654,0.00482184751208021,0.897762785003836,3.48347093043508e-05,0.0958222918158432
"Nucleus dentatus cerebelli",0.803544837722614,0.0771953181708398,3.67674093683359e-05,0,0.119223076697178
"Nucleus medial thalami",0.36438249085504,0.582502892753896,3.59040643400833e-05,0,0.0530787123267237
"Nucleus ruber",0.00693240901213172,0.874061236279607,0,0,0.119006354708261
"Nucleus subthalamicus",0.0307668924787216,0.360865033871808,0,0,0.60836807364947
"Occipital lobe",0.728480413964461,0.269004439594908,0,0.00201902509216874,0.00049612134846229
"Pallidum",0.105702836485519,0.0327198855369426,0.612359892793023,0,0.249217385184516
"Parietal lobe",0.646164637947613,0.349634577508618,5.45218403219431e-05,0.00304647867802414,0.0010997840254228
"Putamen",0.0286558849081369,0.0245411601672154,0.89733765380793,0,0.0494653011167181
"Substantia nigra",0.179704416651561,0.360183828686979,0.000235626767200754,9.63391136801542e-05,0.459779788780579
"Temporal lobe",0.635835073926876,0.343486660274537,0.00351075503728238,0.0142746945531325,0.00289281620817144
"Vermis",0.848917692904145,0.150887216073827,0,0.00013097735643529,6.41136655927509e-05
