"anatomy_group","p_cells_Astrocyte","p_cells_Bergmann glia","p_cells_Choroid plexus","p_cells_Committed oligodendrocyte precursor","p_cells_Ependymal","p_cells_Fibroblast","p_cells_Microglia","p_cells_Oligodendrocyte","p_cells_Oligodendrocyte precursor","p_cells_Vascular","rcmr_value","is_telencephalon","division"
"Basal forebrain",0.200037795269161,7.07864373186097e-05,0.109306837664385,0.00679967560041871,0.026617130179784,0.0215897080035084,0.0834483663572232,0.438338921496364,0.105367135612366,0.00842364337947184,21.4,TRUE,"Telencephalon"
"Caudatum",0.266544286399902,0,0,0.00572098533123415,0.0396609271084387,0.00572098533123415,0.0641245286737661,0.464661067100935,0.146038708612644,0.0075285114418466,32.6,TRUE,"Telencephalon"
"Corpus amygdaloideum",0.185074710548989,0,0,0.0112696158794163,0.00935201749395558,0.00924449613314707,0.109968204751839,0.50627431365482,0.160818462590779,0.00799817894705477,22.2,TRUE,"Telencephalon"
"Frontal lobe",0.28645744096703,0,8.38644750083864e-05,0.00531091825783986,0,0.00533926689689491,0.0694344354516648,0.473032452294929,0.148700623978874,0.0116409976777589,35.3,TRUE,"Telencephalon"
"Hippocampus",0.241523187303045,0,0.00143360107941728,0.00500473410226531,0.015459446046146,0.0085680969797573,0.108057456926769,0.489805651801012,0.12172452393547,0.00842330182611743,25.7,TRUE,"Telencephalon"
"Insular lobe",0.293484458715384,0,0,0.00585468050772314,0,0.00889934091179927,0.123071599820141,0.364941996226012,0.190596154801857,0.0131517690170835,30.3,TRUE,"Telencephalon"
"Nucleus accumbens",0.27343154205593,0,0,0.00945198085199672,0.0329477742726954,0.00355463454584539,0.0652039660055056,0.40811706647272,0.201193425152812,0.006099610642495,32.3,TRUE,"Telencephalon"
"Occipital lobe",0.286459159699873,0,0,0.00492074947056962,0,0.00594182538862041,0.0959151550865527,0.468323232098733,0.127991584223262,0.0104482940323895,35.8,TRUE,"Telencephalon"
"Pallidum",0.1553479476045,8.56435685962163e-06,0,0.00297971113988321,0,0.00605604717775506,0.187598494112789,0.587231514633928,0.0549861818470436,0.00579153912724081,21.9,TRUE,"Telencephalon"
"Parietal lobe",0.286976468084279,0,7.06663840011307e-05,0.00400486680985117,8.14796708221299e-05,0.00627192916725492,0.10793523574251,0.465367365550622,0.120702288889665,0.0085896997009945,35.8,TRUE,"Telencephalon"
"Putamen",0.283958322965253,0,0,0.00576664067590454,0,0.0156106945891598,0.0746284559855594,0.473020990631466,0.134422281762538,0.0125926133901184,40.2,TRUE,"Telencephalon"
"Temporal lobe",0.243173133396392,0,5.99014022918276e-06,0.00543861528971292,0,0.00988891245118811,0.105230171777686,0.457012199765045,0.16825156019452,0.0109994169852269,30.5,TRUE,"Telencephalon"
