"EI_class_jorstad_like","jorstad_equivalent","supercluster_term","cluster_id","subcluster_id","n"
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2552",60
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2554",3600
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2555",2336
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2556",1637
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2612",2076
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2633",1133
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2634",619
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2635",641
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2636",1348
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2637",1757
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","120","2638",283
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2618",4779
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2619",2113
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2620",9807
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2621",3110
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2629",3483
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2630",2675
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2631",2526
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","121","2632",2794
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","122","2564",4910
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","122","2565",3231
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","122","2566",18842
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2551",156
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2553",4070
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2559",5427
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2560",17879
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2561",7084
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2562",11131
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","123","2563",3179
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2622",1821
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2623",2826
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2624",2997
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2625",2624
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2626",5745
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2627",4651
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","124","2628",5463
"E","L2/3 IT + L4 IT","Upper-layer intratelencephalic","125","2558",2117
