"cell_category","supercluster_term","cluster_id","subcluster_id","n"
"Excitatory_projection","Upper rhombic lip","311","11",54161
"Excitatory_projection","Upper-layer intratelencephalic","138","2778",26989
"Excitatory_projection","Upper rhombic lip","310","14",25922
"Excitatory_projection","Upper-layer intratelencephalic","123","2560",22915
"Excitatory_projection","Upper-layer intratelencephalic","122","2566",20360
"Excitatory_projection","Deep-layer intratelencephalic","144","2719",19177
"Excitatory_projection","Deep-layer intratelencephalic","149","2482",19009
"Excitatory_projection","Upper rhombic lip","311","13",17377
"Excitatory_projection","Upper-layer intratelencephalic","126","2589",15595
"Excitatory_projection","Upper rhombic lip","311","12",14487
"Excitatory_projection","Hippocampal dentate gyrus","200","2206",14227
"Inhibitory_interneuron","CGE interneuron","288","429",14210
"Excitatory_projection","Thalamic excitatory","446","123",13606
"Excitatory_projection","Upper-layer intratelencephalic","138","2777",12358
"Inhibitory_projection_MSN","Medium spiny neuron","207","2073",12273
"Excitatory_projection","Upper-layer intratelencephalic","123","2562",11534
"Inhibitory_interneuron","CGE interneuron","287","433",11498
"Excitatory_projection","Upper-layer intratelencephalic","138","2776",11163
"Excitatory_projection","Upper rhombic lip","311","10",11013
"Excitatory_projection","Upper-layer intratelencephalic","121","2620",10613
"Excitatory_projection","Lower rhombic lip","320","802",10326
"Excitatory_projection","Deep-layer intratelencephalic","139","2773",9588
"Inhibitory_interneuron","Midbrain-derived inhibitory","443","702",9158
"Excitatory_projection","Hippocampal dentate gyrus","201","2210",8784
"Inhibitory_interneuron","Midbrain-derived inhibitory","441","695",8255
"Inhibitory_interneuron","Midbrain-derived inhibitory","438","691",8081
"Inhibitory_interneuron","Midbrain-derived inhibitory","439","654",7692
"Excitatory_projection","Upper-layer intratelencephalic","123","2561",7668
"Excitatory_projection","Upper-layer intratelencephalic","129","2595",7452
"Excitatory_projection","Thalamic excitatory","454","99",7424
"Inhibitory_projection_MSN","Medium spiny neuron","207","2074",7149
"Inhibitory_interneuron","MGE interneuron","251","280",7035
"Inhibitory_interneuron","MGE interneuron","262","408",6943
"Inhibitory_interneuron","Midbrain-derived inhibitory","442","701",6835
"Inhibitory_projection_MSN","Medium spiny neuron","215","2023",6453
"Excitatory_projection","Lower rhombic lip","318","805",6396
"Excitatory_projection","Upper rhombic lip","310","9",6351
"Excitatory_projection","Hippocampal dentate gyrus","201","2208",6323
"Excitatory_projection","Hippocampal dentate gyrus","204","2201",6020
"Excitatory_projection","Upper-layer intratelencephalic","124","2628",6013
"Inhibitory_interneuron","CGE interneuron","283","561",5984
"Excitatory_projection","Upper-layer intratelencephalic","124","2626",5956
"Excitatory_projection","Deep-layer intratelencephalic","137","2749",5837
"Excitatory_projection","Lower rhombic lip","320","798",5770
"Inhibitory_interneuron","MGE interneuron","263","424",5656
"Excitatory_projection","Upper-layer intratelencephalic","129","2600",5602
"Excitatory_projection","Upper-layer intratelencephalic","129","2598",5600
"Excitatory_projection","Lower rhombic lip","319","801",5558
"Excitatory_projection","Lower rhombic lip","320","803",5454
"Excitatory_projection","Upper-layer intratelencephalic","123","2559",5446
"Excitatory_projection","Deep-layer intratelencephalic","144","2718",5443
"Excitatory_projection","Upper-layer intratelencephalic","122","2564",5443
"Excitatory_projection","Upper-layer intratelencephalic","124","2627",5399
"Inhibitory_interneuron","CGE interneuron","286","426",5390
"Excitatory_projection","Upper-layer intratelencephalic","130","2571",5379
"Excitatory_projection","Upper-layer intratelencephalic","121","2618",5312
"Inhibitory_interneuron","Midbrain-derived inhibitory","441","696",5286
"Excitatory_projection","Deep-layer intratelencephalic","149","2736",5268
"Excitatory_projection","Hippocampal dentate gyrus","200","2215",5116
"Excitatory_projection","Deep-layer intratelencephalic","139","2769",4813
"Excitatory_projection","Hippocampal CA1-3","119","2325",4736
"Excitatory_projection","Upper-layer intratelencephalic","129","2601",4727
"Excitatory_projection","Hippocampal CA1-3","180","2306",4707
"Excitatory_projection","Upper-layer intratelencephalic","123","2553",4685
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","274","450",4654
"Splatter","Splatter","409","166",4595
"Excitatory_projection","Upper-layer intratelencephalic","126","2588",4578
"Excitatory_projection","Upper-layer intratelencephalic","129","2609",4538
"Excitatory_projection","Amygdala excitatory","156","2401",4436
"Excitatory_projection","Upper-layer intratelencephalic","135","2733",4390
"Excitatory_projection","Hippocampal CA1-3","182","2302",4388
"Inhibitory_projection_MSN","Medium spiny neuron","210","2085",4359
"Excitatory_projection","Deep-layer intratelencephalic","137","2747",4298
"Excitatory_projection","Upper-layer intratelencephalic","120","2554",4283
"Inhibitory_interneuron","MGE interneuron","261","413",4276
"Excitatory_projection","Upper-layer intratelencephalic","121","2629",4249
"Inhibitory_interneuron","CGE interneuron","288","430",4232
"Excitatory_projection","Deep-layer corticothalamic and 6b","106","2810",4126
"Inhibitory_interneuron","CGE interneuron","290","514",4095
"Excitatory_projection","Upper-layer intratelencephalic","131","2575",4090
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","264","374",4056
"Excitatory_projection","Upper-layer intratelencephalic","126","2597",4018
"Inhibitory_interneuron","Midbrain-derived inhibitory","441","699",4008
"Excitatory_projection","Upper-layer intratelencephalic","126","2599",3932
"Excitatory_projection","Upper-layer intratelencephalic","138","2779",3923
"Excitatory_projection","Hippocampal dentate gyrus","201","2209",3889
"Excitatory_projection","Upper-layer intratelencephalic","130","2567",3885
"Inhibitory_interneuron","MGE interneuron","259","341",3883
"Excitatory_projection","Upper-layer intratelencephalic","138","2775",3830
"Excitatory_projection","Upper-layer intratelencephalic","135","2732",3808
"Excitatory_projection","Thalamic excitatory","452","108",3801
"Excitatory_projection","Upper-layer intratelencephalic","129","2689",3785
"Excitatory_projection","Thalamic excitatory","460","43",3770
"Inhibitory_interneuron","CGE interneuron","288","437",3745
"Inhibitory_projection_MSN","Medium spiny neuron","210","2087",3697
"Splatter","Splatter","415","1502",3690
"Excitatory_projection","Upper-layer intratelencephalic","126","2596",3684
"Excitatory_projection","Upper-layer intratelencephalic","131","2593",3677
"Inhibitory_interneuron","Midbrain-derived inhibitory","441","697",3657
"Excitatory_projection","Upper-layer intratelencephalic","122","2565",3631
"Excitatory_projection","Upper-layer intratelencephalic","121","2621",3595
"Excitatory_projection","Deep-layer intratelencephalic","139","2772",3580
"Excitatory_projection","Deep-layer intratelencephalic","149","2738",3571
"Inhibitory_interneuron","CGE interneuron","287","431",3529
"Inhibitory_interneuron","Midbrain-derived inhibitory","439","655",3529
"Excitatory_projection","Upper-layer intratelencephalic","121","2630",3516
"Inhibitory_interneuron","Cerebellar inhibitory","306","153",3510
"Excitatory_projection","Thalamic excitatory","451","88",3509
"Excitatory_projection","Upper-layer intratelencephalic","129","2594",3491
"Excitatory_projection","Hippocampal dentate gyrus","205","2212",3485
"Inhibitory_interneuron","MGE interneuron","242","310",3465
"Excitatory_projection","Deep-layer corticothalamic and 6b","112","2905",3458
"Inhibitory_interneuron","CGE interneuron","290","534",3440
"Inhibitory_interneuron","CGE interneuron","290","536",3386
"Splatter","Splatter","415","1202",3385
"Splatter","Splatter","365","1249",3378
"Inhibitory_interneuron","CGE interneuron","293","505",3344
"Inhibitory_projection_MSN","Medium spiny neuron","209","2081",3342
"Inhibitory_projection_MSN","Medium spiny neuron","215","2025",3307
"Inhibitory_interneuron","CGE interneuron","293","519",3300
"Excitatory_projection","Deep-layer intratelencephalic","139","2770",3295
"Inhibitory_interneuron","MGE interneuron","243","305",3290
"Excitatory_projection","Upper-layer intratelencephalic","121","2631",3289
"Excitatory_projection","Hippocampal dentate gyrus","204","2202",3270
"Excitatory_projection","Upper-layer intratelencephalic","124","2624",3268
"Excitatory_projection","Upper-layer intratelencephalic","129","2603",3261
"Excitatory_projection","Hippocampal dentate gyrus","203","2197",3210
"Excitatory_projection","Upper-layer intratelencephalic","121","2632",3187
"Excitatory_projection","Upper-layer intratelencephalic","123","2563",3183
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","270","440",3179
"Inhibitory_interneuron","Midbrain-derived inhibitory","444","705",3170
"Excitatory_projection","Hippocampal CA1-3","180","2305",3169
"Inhibitory_interneuron","Midbrain-derived inhibitory","434","670",3159
"Inhibitory_interneuron","Midbrain-derived inhibitory","443","703",3113
"Excitatory_projection","Upper-layer intratelencephalic","135","2728",3103
"Excitatory_projection","Upper-layer intratelencephalic","135","2677",3102
"Inhibitory_interneuron","Cerebellar inhibitory","306","154",3076
"Excitatory_projection","Upper-layer intratelencephalic","129","2602",3062
"Excitatory_projection","Upper-layer intratelencephalic","126","2591",3056
"Excitatory_projection","Deep-layer intratelencephalic","148","2490",3007
"Inhibitory_projection_MSN","Medium spiny neuron","215","2026",2989
"Inhibitory_interneuron","Midbrain-derived inhibitory","435","664",2981
"Excitatory_projection","Lower rhombic lip","317","807",2978
"Inhibitory_projection_MSN","Medium spiny neuron","208","2029",2964
"Inhibitory_interneuron","CGE interneuron","286","557",2953
"Excitatory_projection","Upper-layer intratelencephalic","124","2623",2948
"Inhibitory_projection_MSN","Medium spiny neuron","208","2078",2934
"Excitatory_projection","Upper-layer intratelencephalic","129","2604",2918
"Excitatory_projection","Deep-layer corticothalamic and 6b","106","2821",2910
"Inhibitory_projection_MSN","Medium spiny neuron","208","2028",2905
"Excitatory_projection","Upper-layer intratelencephalic","131","2697",2901
"Inhibitory_interneuron","CGE interneuron","278","640",2880
"Inhibitory_interneuron","MGE interneuron","243","307",2864
"Excitatory_projection","Deep-layer intratelencephalic","141","2758",2861
"Inhibitory_interneuron","MGE interneuron","261","411",2861
"Excitatory_projection","Deep-layer intratelencephalic","139","2771",2847
"Inhibitory_interneuron","MGE interneuron","261","418",2847
"Excitatory_projection","Deep-layer intratelencephalic","137","2751",2839
"Excitatory_projection","Upper-layer intratelencephalic","120","2636",2831
"Excitatory_projection","Upper-layer intratelencephalic","135","2731",2827
"Excitatory_projection","Upper-layer intratelencephalic","130","2611",2814
"Excitatory_projection","Upper-layer intratelencephalic","133","2781",2750
"Excitatory_projection","Upper-layer intratelencephalic","131","2576",2742
"Inhibitory_interneuron","MGE interneuron","256","362",2742
"Excitatory_projection","Upper-layer intratelencephalic","124","2625",2733
"Excitatory_projection","Amygdala excitatory","157","2394",2720
"Inhibitory_interneuron","CGE interneuron","291","531",2719
"Excitatory_projection","Amygdala excitatory","155","2475",2717
"Inhibitory_interneuron","CGE interneuron","291","541",2710
"Inhibitory_interneuron","MGE interneuron","243","301",2693
"Excitatory_projection","Amygdala excitatory","175","2335",2685
"Inhibitory_interneuron","Midbrain-derived inhibitory","440","692",2684
"Excitatory_projection","Upper-layer intratelencephalic","135","2742",2678
"Inhibitory_projection_MSN","Medium spiny neuron","209","2079",2646
"Inhibitory_projection_MSN","Medium spiny neuron","213","2035",2642
"Excitatory_projection","Upper-layer intratelencephalic","130","2696",2634
"Inhibitory_interneuron","CGE interneuron","293","517",2630
"Excitatory_projection","Thalamic excitatory","451","85",2616
"Excitatory_projection","Upper-layer intratelencephalic","125","2558",2615
"Excitatory_projection","Hippocampal CA1-3","179","2316",2590
"Inhibitory_interneuron","MGE interneuron","250","272",2576
"Inhibitory_interneuron","MGE interneuron","261","415",2574
"Inhibitory_interneuron","MGE interneuron","251","281",2570
"Excitatory_projection","Deep-layer intratelencephalic","150","2640",2568
"Inhibitory_interneuron","CGE interneuron","286","427",2563
"Excitatory_projection","Deep-layer intratelencephalic","149","2483",2559
"Excitatory_projection","Upper-layer intratelencephalic","133","2784",2556
"Inhibitory_projection_MSN","Medium spiny neuron","214","2045",2553
"Excitatory_projection","Upper-layer intratelencephalic","121","2619",2547
"Excitatory_projection","Deep-layer intratelencephalic","151","2662",2538
"Inhibitory_projection_MSN","Medium spiny neuron","213","2033",2538
"Inhibitory_interneuron","Midbrain-derived inhibitory","439","689",2534
"Inhibitory_interneuron","LAMP5-LHX6 and Chandelier","273","447",2509
"Excitatory_projection","Upper-layer intratelencephalic","120","2555",2492
"Excitatory_projection","Hippocampal CA1-3","184","2275",2480
"Excitatory_projection","Upper-layer intratelencephalic","131","2577",2479
"Excitatory_projection","Deep-layer intratelencephalic","148","2487",2475
"Excitatory_projection","Upper-layer intratelencephalic","131","2615",2469
"Excitatory_projection","Amygdala excitatory","157","2393",2459
"Inhibitory_interneuron","MGE interneuron","257","409",2450
"Excitatory_projection","Deep-layer intratelencephalic","140","2766",2432
"Inhibitory_interneuron","MGE interneuron","242","309",2432
"Excitatory_projection","Upper-layer intratelencephalic","130","2782",2410
"Inhibitory_interneuron","CGE interneuron","288","438",2410
"Inhibitory_interneuron","CGE interneuron","293","516",2407
"Inhibitory_projection_MSN","Medium spiny neuron","213","2037",2407
"Inhibitory_interneuron","Midbrain-derived inhibitory","439","657",2406
"Excitatory_projection","Upper-layer intratelencephalic","130","2608",2383
"Excitatory_projection","Hippocampal dentate gyrus","200","2207",2376
"Inhibitory_interneuron","Midbrain-derived inhibitory","440","693",2374
"Excitatory_projection","Upper-layer intratelencephalic","128","2695",2373
"Excitatory_projection","Lower rhombic lip","320","797",2359
"Excitatory_projection","Deep-layer intratelencephalic","148","2485",2350
"Excitatory_projection","Deep-layer intratelencephalic","151","2659",2328
"Inhibitory_interneuron","MGE interneuron","258","401",2325
"Inhibitory_interneuron","MGE interneuron","259","412",2322
"Inhibitory_interneuron","MGE interneuron","251","284",2320
