"supercluster_term","Non-telencephalon","Telencephalon"
"Amygdala excitatory",0.620217980851236,0.128204134532359
"CGE interneuron",0.45280258157789,0.956918823900548
"Cerebellar inhibitory",0.742276062490924,0.534533485738951
"Deep-layer corticothalamic and 6b",0.911356092610019,0.925312891776181
"Deep-layer intratelencephalic",0.827902229092661,0.819886812158869
"Deep-layer near-projecting",0.827902229092661,0.859767659747259
"Eccentric medium spiny neuron",0.827902229092661,0.140914958202972
"Hippocampal CA1-3",0.34751165548068,0.345352260869239
"Hippocampal CA4",0.620217980851236,0.247280282405255
"Hippocampal dentate gyrus",0.34751165548068,0.931535003557668
"LAMP5-LHX6 and Chandelier",0.728735610155837,0.768043525985949
"Lower rhombic lip",0.827902229092661,0.414677672142181
"MGE interneuron",0.66706042673067,0.768043525985949
"Mammillary body",0.442532561784272,0.768043525985949
"Medium spiny neuron",0.372753443026459,0.768043525985949
"Midbrain-derived inhibitory",0.827902229092661,0.12349019427778
"Miscellaneous",0.442532561784272,0.633683245170075
"Splatter",0.827902229092661,0.12349019427778
"Thalamic excitatory",0.66706042673067,0.199363602199534
"Upper rhombic lip",0.827902229092661,0.163117655396538
"Upper-layer intratelencephalic",0.827902229092661,0.859767659747259
