"division","supercluster_term","variable","rho","p_value","n_regions","n_nonzero_regions","mean_region_prop","sd_region_prop","status","p_adj_BH"
"Non-telencephalon","Amygdala excitatory","p_cells_Amygdala excitatory",-0.389581616506962,0.236273516514756,11,4,0.000111598128229679,0.000304573643376463,"tested",0.620217980851236
"Telencephalon","Amygdala excitatory","p_cells_Amygdala excitatory",-0.664912280701754,0.0183148763617656,12,10,0.0369342861823964,0.096992001113403,"tested",0.128204134532359
"Non-telencephalon","CGE interneuron","p_cells_CGE interneuron",-0.486258996264143,0.129372166165112,11,8,0.0128013746211543,0.0158599500209536,"tested",0.45280258157789
"Telencephalon","CGE interneuron","p_cells_CGE interneuron",0.0175131617084587,0.956918823900548,12,12,0.0831197756984971,0.0606021668936419,"tested",0.956918823900548
"Non-telencephalon","Cerebellar inhibitory","p_cells_Cerebellar inhibitory",0.268793408071141,0.424157749994814,11,9,0.0253356188412648,0.0480462795563921,"tested",0.742276062490924
"Telencephalon","Cerebellar inhibitory","p_cells_Cerebellar inhibitory",-0.357062367988278,0.254539755113786,12,6,2.43407823277498e-05,5.60255825536137e-05,"tested",0.534533485738951
"Non-telencephalon","Deep-layer corticothalamic and 6b","p_cells_Deep-layer corticothalamic and 6b",0.0381385035698237,0.911356092610019,11,6,0.000492628367026591,0.000819342199402689,"tested",0.911356092610019
"Telencephalon","Deep-layer corticothalamic and 6b","p_cells_Deep-layer corticothalamic and 6b",0.0665500144921429,0.837187854464164,12,11,0.0282592033566001,0.0239044718890783,"tested",0.925312891776181
"Non-telencephalon","Deep-layer intratelencephalic","p_cells_Deep-layer intratelencephalic",0.171623266064207,0.613855791268312,11,6,0.000419311901340754,0.000880569940909834,"tested",0.827902229092661
"Telencephalon","Deep-layer intratelencephalic","p_cells_Deep-layer intratelencephalic",0.157618455376128,0.624675666406758,12,12,0.0845763292864817,0.0804268965139279,"tested",0.819886812158869
"Non-telencephalon","Deep-layer near-projecting","p_cells_Deep-layer near-projecting",-0.1,0.769874999892136,11,1,5.81297339402078e-06,1.92794516642857e-05,"tested",0.827902229092661
"Telencephalon","Deep-layer near-projecting","p_cells_Deep-layer near-projecting",0.116403745759643,0.718650305898375,12,9,0.00742349343563443,0.0080982928234985,"tested",0.859767659747259
"Non-telencephalon","Eccentric medium spiny neuron","p_cells_Eccentric medium spiny neuron",-0.138749187018864,0.684114173493219,11,3,1.23465883469161e-05,2.49753469049903e-05,"tested",0.827902229092661
