"supercluster_term","Non-telencephalon","Telencephalon"
"Amygdala excitatory",0.236273516514756,0.0183148763617656
"CGE interneuron",0.129372166165112,0.956918823900548
"Cerebellar inhibitory",0.424157749994814,0.254539755113786
"Deep-layer corticothalamic and 6b",0.911356092610019,0.837187854464164
"Deep-layer intratelencephalic",0.613855791268312,0.624675666406758
"Deep-layer near-projecting",0.769874999892136,0.718650305898375
"Eccentric medium spiny neuron",0.684114173493219,0.0268409444196137
"Hippocampal CA1-3",0.0330963481410172,0.131562766045424
"Hippocampal CA4",0.222868350133521,0.0824267608017516
"Hippocampal dentate gyrus",0.0260741785878862,0.887176193864445
"LAMP5-LHX6 and Chandelier",0.381718652938771,0.548602518561392
"Lower rhombic lip",0.516298931515527,0.177719002346649
"MGE interneuron",0.3176478222527,0.469732557172844
"Mammillary body",0.105364895662922,0.494592313127359
"Medium spiny neuron",0.0532504918609228,0.547888370668936
"Midbrain-derived inhibitory",0.738801708682206,0.00745096841550303
"Miscellaneous",0.100255767600409,0.331929318898611
"Splatter",0.669578645642079,0.0117609708835981
"Thalamic excitatory",0.313953022596199,0.0569610291998669
"Upper rhombic lip",0.769874999892136,0.0388375369991757
"Upper-layer intratelencephalic",0.788478313421582,0.736943708354793
