"anatomy_id","anatomy_group","dominant_ROIGroupCoarse","n_cells_dominant","n_cells_total","dominant_fraction","is_telencephalon","division"
"basal_forebrain","Basal forebrain","Cerebral nuclei",53804,53804,1,TRUE,"Telencephalon"
"caudate_nucleus","Caudatum","Cerebral nuclei",29889,29889,1,TRUE,"Telencephalon"
"amygdala","Corpus amygdaloideum","Cerebral nuclei",185429,185429,1,TRUE,"Telencephalon"
"frontal_lobe","Frontal lobe","Cerebral cortex",277827,277827,1,TRUE,"Telencephalon"
"hippocampus","Hippocampus","Hippocampus",237728,237728,1,TRUE,"Telencephalon"
"insular_lobe","Insular lobe","Cerebral cortex",104365,104365,1,TRUE,"Telencephalon"
"nucleus_accumbens","Nucleus accumbens","Cerebral nuclei",27406,27406,1,TRUE,"Telencephalon"
"occipital_lobe","Occipital lobe","Cerebral cortex",112307,112307,1,TRUE,"Telencephalon"
"pallidum","Pallidum","Cerebral nuclei",16640,16640,1,TRUE,"Telencephalon"
"parietal_lobe","Parietal lobe","Cerebral cortex",143001,143001,1,TRUE,"Telencephalon"
"putamen","Putamen","Cerebral nuclei",30723,30723,1,TRUE,"Telencephalon"
"temporal_lobe","Temporal lobe","Cerebral cortex",363740,363740,1,TRUE,"Telencephalon"
"cerebellar_cortex","Cerebellar cortex","Cerebellum",24799,24799,1,FALSE,"Non-telencephalon"
"inferior_colliculus","Colliculus inferior","Midbrain",27978,27978,1,FALSE,"Non-telencephalon"
"superior_colliculus","Colliculus superior","Midbrain",27156,27156,1,FALSE,"Non-telencephalon"
"lateral_geniculate_nucleus","Corpus geniculatum laterale","Thalamus",40223,40223,1,FALSE,"Non-telencephalon"
"medial_geniculate_nucleus","Corpus geniculatum mediale","Thalamus",10529,10529,1,FALSE,"Non-telencephalon"
"dentate_nucleus","Nucleus dentatus cerebelli","Cerebellum",23155,23155,1,FALSE,"Non-telencephalon"
"medial_thalamic_nuclei","Nucleus medial thalami","Thalamus",26418,26418,1,FALSE,"Non-telencephalon"
"red_nucleus","Nucleus ruber","Midbrain",1731,1731,1,FALSE,"Non-telencephalon"
"subthalamic_nucleus","Nucleus subthalamicus","Thalamus",557,557,1,FALSE,"Non-telencephalon"
"substantia_nigra","Substantia nigra","Midbrain",8425,8425,1,FALSE,"Non-telencephalon"
"vermis","Vermis","Cerebellum",54680,54680,1,FALSE,"Non-telencephalon"
