"anatomy_id","anatomy_group","dominant_ROIGroupCoarse","n_cells_dominant","n_cells_total","dominant_fraction","is_telencephalon","division"
"basal_forebrain","Basal forebrain","Cerebral nuclei",25131,25131,1,TRUE,"Telencephalon"
"caudate_nucleus","Caudatum","Cerebral nuclei",2787,2787,1,TRUE,"Telencephalon"
"amygdala","Corpus amygdaloideum","Cerebral nuclei",36567,36567,1,TRUE,"Telencephalon"
"frontal_lobe","Frontal lobe","Cerebral cortex",19846,19846,1,TRUE,"Telencephalon"
"hippocampus","Hippocampus","Hippocampus",109980,109980,1,TRUE,"Telencephalon"
"insular_lobe","Insular lobe","Cerebral cortex",9196,9196,1,TRUE,"Telencephalon"
"nucleus_accumbens","Nucleus accumbens","Cerebral nuclei",2720,2720,1,TRUE,"Telencephalon"
"occipital_lobe","Occipital lobe","Cerebral cortex",11500,11500,1,TRUE,"Telencephalon"
"pallidum","Pallidum","Cerebral nuclei",67810,67810,1,TRUE,"Telencephalon"
"parietal_lobe","Parietal lobe","Cerebral cortex",12330,12330,1,TRUE,"Telencephalon"
"putamen","Putamen","Cerebral nuclei",3675,3675,1,TRUE,"Telencephalon"
"temporal_lobe","Temporal lobe","Cerebral cortex",80791,80791,1,TRUE,"Telencephalon"
"cerebellar_cortex","Cerebellar cortex","Cerebellum",3218,3218,1,FALSE,"Non-telencephalon"
"inferior_colliculus","Colliculus inferior","Midbrain",4290,4290,1,FALSE,"Non-telencephalon"
"superior_colliculus","Colliculus superior","Midbrain",2741,2741,1,FALSE,"Non-telencephalon"
"lateral_geniculate_nucleus","Corpus geniculatum laterale","Thalamus",8595,8595,1,FALSE,"Non-telencephalon"
"medial_geniculate_nucleus","Corpus geniculatum mediale","Thalamus",3691,3691,1,FALSE,"Non-telencephalon"
"dentate_nucleus","Nucleus dentatus cerebelli","Cerebellum",28652,28652,1,FALSE,"Non-telencephalon"
"medial_thalamic_nuclei","Nucleus medial thalami","Thalamus",7835,7835,1,FALSE,"Non-telencephalon"
"red_nucleus","Nucleus ruber","Midbrain",2973,2973,1,FALSE,"Non-telencephalon"
"subthalamic_nucleus","Nucleus subthalamicus","Thalamus",19559,19559,1,FALSE,"Non-telencephalon"
"substantia_nigra","Substantia nigra","Midbrain",50837,50837,1,FALSE,"Non-telencephalon"
"vermis","Vermis","Cerebellum",17133,17133,1,FALSE,"Non-telencephalon"
