"anatomy_group","p_Astrocyte_Type1","p_Astrocyte_Type2"
"Basal forebrain",0.164729070973847,0.0353087242953139
"Caudatum",0.264947480012676,0.00159680638722555
"Cerebellar cortex",0,0.0250894994166154
"Colliculus inferior",0.00346058152029551,0.156356618319816
"Colliculus superior",0.00666592875458889,0.233615452933069
"Corpus amygdaloideum",0.172378683195792,0.0126960273531965
"Corpus geniculatum laterale",0.00690776739162054,0.137953896740167
"Corpus geniculatum mediale",0.00352790250160359,0.0768514718748609
"Frontal lobe",0.284362207299761,0.00209523366726846
"Hippocampus",0.23875152282268,0.00277166448036502
"Insular lobe",0.293484458715384,0
"Nucleus accumbens",0.271328492634268,0.00210304942166141
"Nucleus dentatus cerebelli",5.35397778876757e-05,0.144453520838373
"Nucleus medial thalami",0.00225145578252974,0.146829432818688
"Nucleus ruber",0.000336360578540195,0.115371678439287
"Nucleus subthalamicus",0.000506310045772727,0.0680529581109693
"Occipital lobe",0.286354502452359,0.00010465724751439
"Pallidum",0.0228203388415764,0.132527608762924
"Parietal lobe",0.286976468084279,0
"Putamen",0.278762414324437,0.00519590864081656
"Substantia nigra",0.002303359138233,0.0995958277842594
"Temporal lobe",0.242932595058211,0.000240538338181109
"Vermis",0,0.0182603930471671
