"dependency_id","study","source_relative_path","local_path","md5"
"kochiyama_fossil_specimens","s4a","Kochiyama_etal_2018/Kochiyama_etal_2018_FossilSpecimensText.csv","data_raw/Kochiyama_etal_2018_FossilSpecimensText.csv","32ec4b826f7055d925a276a5ca2fbe55"
"kochiyama_fossil_groupmeans","s4a","Kochiyama_etal_2018/Kochiyama_etal_2018_FossilSpecimensText_groupmeans.csv","data_raw/Kochiyama_etal_2018_FossilSpecimensText_groupmeans.csv","61831f46594b2aff5558d64c6a93f581"
"kochiyama_figure3_legend","s4a","Kochiyama_etal_2018/Kochiyama_etal_2018_Figure3legend.csv","data_raw/Kochiyama_etal_2018_Figure3legend.csv","2946810e29406ad97946dd0300df9e5b"
"kochiyama_figure3a","s4a","Kochiyama_etal_2018/Kochiyama_etal_2018_Figure3A.csv","data_raw/Kochiyama_etal_2018_Figure3A.csv","a195b5f3348c5078f3b1734beb2bdcd7"
"kochiyama_figure3b","s4a","Kochiyama_etal_2018/Kochiyama_etal_2018_Figure3B.csv","data_raw/Kochiyama_etal_2018_Figure3B.csv","cacb890ed3883a84f1cde8d4ee185ee5"
"kochiyama_figure3_readme","s4a","Kochiyama_etal_2018/Kochiyama_etal_2018_Figure3.ReadMe.md","data_raw/Kochiyama_etal_2018_Figure3.ReadMe.md","077ab29f076804c0f46efab2ff555e85"
"johansen_synaptic_density","s1c","Johansen_etal_2024/Johansen_etal_2024_Table2.csv","data_raw/Johansen_etal_2024_Table2.csv","78b344dbe036478afd81af4d0a6bb747"
"heiss_metabolic_rates","shared","Heiss_etal_2004/Heiss_etal_2004_TABLE1.csv","data_raw/Heiss_etal_2004_TABLE1.csv","985a0ea004632d38e465317e6f573748"
"boyer_harrington_table1","s4b","__merging_fossil_brain_glucose/inputs/Boyer_Harrington_2018_Table1.csv","data_raw/Boyer_Harrington_2018_Table1.csv","52221a5f1d498d9df31b609f75d88b18"
"boyer_harrington_table2","s4b","__merging_fossil_brain_glucose/inputs/Boyer_Harrington_2018_Table2.csv","data_raw/Boyer_Harrington_2018_Table2.csv","10ba20efed0abf6745cba1bf1141f3e2"
"comparative_volumes","traits","__merging_volumes/volumes_wide.csv","data_raw/volumes_wide.csv","ec3c7c23c535741ea4821cfac5d61b7a"
