"Koch_code","anatomy_id","Heiss_region","split_weight","mapping_relationship","MH_vol_cc","NT_rel","EH_rel","MH_rel","eff_vol_cc"
"Ce A","cerebellar_cortex","Cerebellar cortex",1,"parcel_to_tissue",13.86,0.99,1,1,13.86
"Ce P","cerebellar_cortex","Cerebellar cortex",1,"parcel_to_tissue",114.41,0.94,0.995,1,114.41
"Fr SM","frontal_lobe","Frontal lobe",1,"parcel_to_lobe",161.61,0.98,1.01,1,161.61
"Fr I","frontal_lobe","Frontal lobe",1,"parcel_to_lobe",41.57,1,0.995,1,41.57
"Fr O","frontal_lobe","Frontal lobe",1,"parcel_to_lobe",65.46,0.99,1.01,1,65.46
"Sm","frontal_lobe","Frontal lobe",0.5,"split_parcel",96.93,0.98,0.965,1,48.465
"Oc SM","occipital_lobe","Occipital lobe",1,"parcel_to_lobe",93.7,1.065,1.06,1,93.7
"Oc I","occipital_lobe","Occipital lobe",1,"parcel_to_lobe",39.99,1.03,1.045,1,39.99
"Sm","parietal_lobe","Parietal lobe",0.5,"split_parcel",96.93,0.98,0.965,1,48.465
"Pa SI","parietal_lobe","Parietal lobe",1,"parcel_to_lobe",88.3,0.96,0.965,1,88.3
"Pa TP","parietal_lobe","Parietal lobe",1,"parcel_to_lobe",37.38,1.015,0.985,1,37.38
"Te SM","temporal_lobe","Temporal lobe",1,"parcel_to_lobe",91.27,1.05,0.99,1,91.27
"Te I","temporal_lobe","Temporal lobe",1,"parcel_to_lobe",82.5,1.03,1,1,82.5
"Ce V","vermis","Vermis",1,"exact",12.38,0.965,1.01,1,12.38
