"Region","Residual_OLS","Residual_PGLS"
"Medulla_oblongata",-0.194903410972227,-0.246135483993405
"Cerebellum",0.0196958407429273,-0.0983698255698338
"Mesencephalon",-0.0437786882734126,-0.091286221626997
"Diencephalon",-0.152259864484925,-0.195004428578861
"Telencephalon",-0.00836512190334915,0.0269737726418722
"Corpus geniculatum laterale",-0.40261341133072,-0.303079701037694
"Amygdala",-0.0929262746918695,-0.0595587833527547
"Pallidum",-0.241283380020435,-0.189218741741088
"Neocortex white",-0.189745240896705,0.0398615924572017
"Insular cortex (grey)",-0.0978676029329621,-0.00776953744465247
"Nucleus subthalamicus Luysi",-0.146277530320956,-0.17140504640432
"Capsula interna",-0.106452004305194,-0.153542950471699
"Striatum",-0.213018939542574,-0.205138971109715
"Area striata grey",-0.307599035883331,-0.136134155888447
"Neocortex grey",-0.0295529976168645,0.0779177970661991
"Mesencephalon",-0.073849857378812,-0.0808386110264894
"Cerebellum",-0.0228524869010354,-0.0740493525156323
"Hippocampus",-0.0171863193417057,-0.169021197431138
