"Region","Model","Residual"
"Medulla_oblongata","OLS",-0.234894274817564
"Cerebellum","OLS",0.0305428821508142
"Mesencephalon","OLS",-0.0497075436421373
"Diencephalon","OLS",-0.188369664498115
"Telencephalon","OLS",0.0382981052337872
"Corpus geniculatum laterale","OLS",-0.487120968877049
"Amygdala","OLS",-0.185135271529252
"Pallidum","OLS",-0.280229316645126
"Neocortex white","OLS",-0.220896476476514
"Insular cortex (grey)","OLS",-0.0724821809874499
"Nucleus subthalamicus Luysi","OLS",-0.136470506063068
"Capsula interna","OLS",-0.0860498961084661
"Striatum","OLS",-0.229997952041594
"Area striata grey","OLS",-0.340428973710795
"Neocortex grey","OLS",-0.0116029097703851
"Mesencephalon","OLS",-0.0497075436421373
"Cerebellum","OLS",0.0305428821508142
"Hippocampus","OLS",-0.0159638837915832
"Medulla_oblongata","PGLS_ML",-0.350317060757193
"Cerebellum","PGLS_ML",-0.146751920799195
"Mesencephalon","PGLS_ML",-0.104635638014512
"Diencephalon","PGLS_ML",-0.274504574843156
"Telencephalon","PGLS_ML",0.208845624314929
"Corpus geniculatum laterale","PGLS_ML",-0.438518846655006
"Amygdala","PGLS_ML",-0.151295227679353
"Pallidum","PGLS_ML",-0.361911437256621
"Neocortex white","PGLS_ML",-0.0723350357995045
"Insular cortex (grey)","PGLS_ML",-0.061703238530106
"Nucleus subthalamicus Luysi","PGLS_ML",-0.226240563171352
"Capsula interna","PGLS_ML",-0.247645848293031
"Striatum","PGLS_ML",-0.310136849653211
"Area striata grey","PGLS_ML",-0.19719518098011
"Neocortex grey","PGLS_ML",0.0935921361513703
"Mesencephalon","PGLS_ML",-0.104635638014512
"Cerebellum","PGLS_ML",-0.146751920799195
"Hippocampus","PGLS_ML",-0.209732334475366
"Medulla_oblongata","PGLS_BM",-0.350317060757193
"Cerebellum","PGLS_BM",-0.146751920799195
"Mesencephalon","PGLS_BM",-0.104635638014512
"Diencephalon","PGLS_BM",-0.274504574843156
"Telencephalon","PGLS_BM",0.208845624314929
"Corpus geniculatum laterale","PGLS_BM",-0.438518846655006
"Amygdala","PGLS_BM",-0.151295227679353
"Pallidum","PGLS_BM",-0.361911437256621
"Neocortex white","PGLS_BM",-0.0723350357995045
"Insular cortex (grey)","PGLS_BM",-0.061703238530106
"Nucleus subthalamicus Luysi","PGLS_BM",-0.226240563171352
"Capsula interna","PGLS_BM",-0.247645848293031
"Striatum","PGLS_BM",-0.310136849653211
"Area striata grey","PGLS_BM",-0.19719518098011
"Neocortex grey","PGLS_BM",0.0935921361513703
"Mesencephalon","PGLS_BM",-0.104635638014512
"Cerebellum","PGLS_BM",-0.146751920799195
"Hippocampus","PGLS_BM",-0.209732334475366
