Structure,Model,lambda,Lower,Predicted,Upper,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc,excluded,log_ratio,diff_pre,y,x_raw,x
Amygdala,Brownian (BM),1,3529.5,4731,6341.3,3015,-0.17065794,-0.5691416100000002,-1.1032662999999998,16,22.2,FALSE,-0.4505367664698623,-0.5691416100000002,-0.4505367664698623,22.2,-5.399999999999999
Area striata grey,Brownian (BM),1,12567,15682,19570,14787,0.15015021,-0.060545009999999996,-0.32347590000000004,40,35.8,FALSE,-0.05876514141737978,-0.060545009999999996,-0.05876514141737978,35.8,8.2
Capsula interna,Brownian (BM),1,7296.9,8975.6,11040,7008,-0.04123024,-0.28076806000000004,-0.5754121999999999,25,25.5,FALSE,-0.24745743087342034,-0.28076806000000004,-0.24745743087342034,25.5,-2.099999999999998
Cerebellum,Brownian (BM),1,54422,64137,75585,137420,0.6039746300000001,0.53328343,0.44997370000000003,44,29.8,FALSE,0.7620205091165493,0.53328343,0.7620205091165493,29.8,2.200000000000003
Corpus geniculatum laterale,Brownian (BM),1,492.17,637.7,826.2700000000001,335,-0.4691535,-0.9035872199999999,-1.4664845,46,23.1,FALSE,-0.6437374214961595,-0.9035872199999999,-0.6437374214961595,23.1,-4.4999999999999964
Hippocampus,Brownian (BM),1,4261.4,5799.4,7892.5,10287,0.5857533599999999,0.43624312,0.2327715,44,25.7,FALSE,0.5731264982235235,0.43624312,0.5731264982235235,25.7,-1.8999999999999986
Insular cortex (grey),Brownian (BM),1,5517.3,9297.7,15668,6479,0.14843407000000003,-0.43504505,-1.4183145999999998,26,30.3,FALSE,-0.36120088027681996,-0.43504505,-0.36120088027681996,30.3,2.700000000000003
Mesencephalon,Brownian (BM),1,4757.7,5350.8,6018,8087,0.41169014,0.33834046,0.2558456,44,25.3,FALSE,0.4130117516743908,0.33834046,0.4130117516743908,25.3,-2.299999999999997
Neocortex grey,Brownian (BM),1,541780,668170,824050,584710,0.07341585,-0.14274601000000003,-0.40933600000000003,22,33.5,FALSE,-0.13342663435413551,-0.14274601000000003,-0.13342663435413551,33.5,5.900000000000002
Nucleus dentatus cerebelli,Brownian (BM),1,498.19,602.93,729.6800000000001,1166.9,0.5730627699999999,0.48330665000000006,0.37468090000000004,43,24.2,FALSE,0.6603048350588941,0.48330665000000006,0.6603048350588941,24.2,-3.3999999999999986
Nucleus subthalamicus Luysi,Brownian (BM),1,512.1800000000001,649.73,824.23,469,-0.09207098999999999,-0.38535844,-0.7574114,25,25.2,FALSE,-0.3259541235319314,-0.38535844,-0.3259541235319314,25.2,-2.3999999999999986
Pallidum,Brownian (BM),1,7687.5,9422.2,11548,4711,-0.6318129299999999,-1.00003442,-1.4513456999999998,25,21.9,FALSE,-0.6931684072503866,-1.00003442,-0.6931684072503866,21.9,-5.699999999999999
Striatum,Brownian (BM),1,14860,17710,21107,28689,0.48202309000000004,0.38267502999999997,0.264272,44,36.3,FALSE,0.48238432224077316,0.38267502999999997,0.48238432224077316,36.3,8.7
