from,to,module,weight,rationale,resid_from,resid_to,z_from,z_to,residual_product,same_sign,edge
Amygdala,Insular cortex (grey),limbic_interoceptive,1,"Salience, interoceptive, and affective coupling",0.8813879994152909,0.5077344723370091,2.1738179901245425,1.2522547741798016,2.722173956331399,TRUE,Amygdala -- Insular cortex (grey)
Capsula interna,Pallidum,basal_ganglia_white_matter,1,Projection fiber system coupled to basal ganglia territory,-0.44197286590051044,-0.29085137275429546,-1.0900631364152922,-0.7173434934048842,0.7819496983080305,TRUE,Capsula interna -- Pallidum
Pallidum,Nucleus subthalamicus Luysi,basal_ganglia,1,Reciprocal basal ganglia circuit coupling,-0.29085137275429546,-0.4326269074334872,-0.7173434934048842,-1.0670126607291588,0.7654145895546953,TRUE,Pallidum -- Nucleus subthalamicus Luysi
Capsula interna,Striatum,basal_ganglia_white_matter,1,Internal capsule courses adjacent to and through basal ganglia territory,-0.44197286590051044,-0.1540171376637937,-1.0900631364152922,-0.379861337870667,0.4140728413622083,TRUE,Capsula interna -- Striatum
Striatum,Nucleus subthalamicus Luysi,basal_ganglia,1,Basal ganglia indirect and hyperdirect circuit membership,-0.1540171376637937,-0.4326269074334872,-0.379861337870667,-1.0670126607291588,0.40531685682951835,TRUE,Striatum -- Nucleus subthalamicus Luysi
Amygdala,Hippocampus,limbic,1,Medial temporal limbic system coupling,0.8813879994152909,0.06069067562891688,2.1738179901245425,0.1496849090326561,0.3253877481053435,TRUE,Amygdala -- Hippocampus
Striatum,Pallidum,basal_ganglia,1,Canonical striatopallidal basal ganglia linkage,-0.1540171376637937,-0.29085137275429546,-0.379861337870667,-0.7173434934048842,0.2724910591175973,TRUE,Striatum -- Pallidum
Corpus geniculatum laterale,Area striata grey,visual,1,LGN to primary visual cortex thalamocortical visual pathway,-0.303739734533672,-0.12721815039527007,-0.7491308024195616,-0.3137654519724223,0.23505136480763714,TRUE,Corpus geniculatum laterale -- Area striata grey
Hippocampus,Insular cortex (grey),limbic_interoceptive,1,Broader limbic and interoceptive association,0.06069067562891688,0.5077344723370091,0.1496849090326561,1.2522547741798016,0.1874436419588129,TRUE,Hippocampus -- Insular cortex (grey)
Mesencephalon,Cerebellum,motor_hindbrain,1,Brainstem and cerebellar motor network coupling,0.19719172776626107,-0.1998076896826505,0.4863453162584583,-0.49279721380993463,-0.23966961680167975,FALSE,Mesencephalon -- Cerebellum
Mesencephalon,Pallidum,basal_ganglia_midbrain,1,Midbrain and pallidal motor circuit coupling,0.19719172776626107,-0.29085137275429546,0.4863453162584583,-0.7173434934048842,-0.3488766481659457,FALSE,Mesencephalon -- Pallidum
Mesencephalon,Nucleus subthalamicus Luysi,basal_ganglia_midbrain,1,Midbrain and basal ganglia motor circuit coupling,0.19719172776626107,-0.4326269074334872,0.4863453162584583,-1.0670126607291588,-0.5189366099341017,FALSE,Mesencephalon -- Nucleus subthalamicus Luysi
