review_keep,review_corrected_rcmr_term,review_note,rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_rule_label,assigned_pattern,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection,candidate_evidence
TRUE,Basal forebrain,,Basal forebrain,assigned_single_candidate,FALSE,1,Basal forebrain,ROIGroupFine,Basal forebrain,exact rCMR term,Basal forebrain,40815,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - septal nuclei - SEP,dissection=Basal forebrain (BF) - septal nuclei - SEP -> Basal forebrain || ROIGroupFine=Basal forebrain -> Basal forebrain
TRUE,Basal forebrain,,Basal forebrain,assigned_single_candidate,FALSE,1,Basal forebrain,ROIGroupFine,Basal forebrain,exact rCMR term,Basal forebrain,38205,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,dissection=Basal forebrain (BF) - substantia innominata and nearby nuclei - SI -> Basal forebrain || ROIGroupFine=Basal forebrain -> Basal forebrain
TRUE,Caudatum,,Caudatum,assigned_single_candidate,FALSE,1,Caudatum,dissection,Basal nuclei (BN) - Body of the Caudate - CaB,caudate pattern,Caudate|Body of the Caudate|\bCaB\b,32678,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Body of the Caudate - CaB,dissection=Basal nuclei (BN) - Body of the Caudate - CaB -> Caudatum
TRUE,Cerebellar cortex,,Cerebellar cortex,assigned_single_candidate,FALSE,1,Cerebellar cortex,dissection,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,cerebellar cortex or lateral hemisphere pattern,Cerebellar cortex|Lateral hemisphere of cerebellum|\bCBL\b,28028,Hindbrain,Cerebellum,Cerebellum,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,dissection=Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL -> Cerebellar cortex
TRUE,Colliculus inferior,,Colliculus inferior,assigned_single_candidate,FALSE,1,Colliculus inferior,dissection,Midbrain (M) - Inferior colliculus and nearby nuclei - IC,inferior colliculus pattern,Inferior colliculus|\bIC\b,32306,Midbrain,Midbrain,Midbrain,Midbrain (M) - Inferior colliculus and nearby nuclei - IC,dissection=Midbrain (M) - Inferior colliculus and nearby nuclei - IC -> Colliculus inferior
TRUE,Colliculus superior,,Colliculus superior,assigned_single_candidate,FALSE,1,Colliculus superior,dissection,Midbrain (M) - Superior colliculus and nearby nuclei - SC,superior colliculus pattern,Superior colliculus|\bSC\b,29907,Midbrain,Midbrain,Midbrain,Midbrain (M) - Superior colliculus and nearby nuclei - SC,dissection=Midbrain (M) - Superior colliculus and nearby nuclei - SC -> Colliculus superior
TRUE,Corpus amygdaloideum,,Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,28984,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,dissection=Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum
TRUE,Corpus amygdaloideum,,Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,42699,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Central nuclear group - CEN,dissection=Amygdaloid complex (AMY) - Central nuclear group - CEN -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum
TRUE,Corpus amygdaloideum,,Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,10778,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,dissection=Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum
TRUE,Corpus amygdaloideum,,Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,35285,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,dissection=Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum
