rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_match_mode,assigned_rule_label,assigned_pattern,candidate_evidence,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection
Basal forebrain,assigned_single_candidate,FALSE,1,Basal forebrain,ROIGroupFine,Basal forebrain,exact_ci,exact rCMR term,Basal forebrain,dissection=Basal forebrain (BF) - septal nuclei - SEP -> Basal forebrain || ROIGroupFine=Basal forebrain -> Basal forebrain,40815,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - septal nuclei - SEP
Basal forebrain,assigned_single_candidate,FALSE,1,Basal forebrain,ROIGroupFine,Basal forebrain,exact_ci,exact rCMR term,Basal forebrain,dissection=Basal forebrain (BF) - substantia innominata and nearby nuclei - SI -> Basal forebrain || ROIGroupFine=Basal forebrain -> Basal forebrain,38205,Cerebral nuclei,Cerebral nuclei,Basal forebrain,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI
Caudatum,assigned_single_candidate,FALSE,1,Caudatum,dissection,Basal nuclei (BN) - Body of the Caudate - CaB,regex_ci,caudate pattern,Caudate|Body of the Caudate|\bCaB\b,dissection=Basal nuclei (BN) - Body of the Caudate - CaB -> Caudatum,32678,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Body of the Caudate - CaB
Cerebellar cortex,assigned_single_candidate,FALSE,1,Cerebellar cortex,dissection,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,regex_ci,cerebellar cortex or lateral hemisphere pattern,Cerebellar cortex|Lateral hemisphere of cerebellum|\bCBL\b,dissection=Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL -> Cerebellar cortex,28028,Hindbrain,Cerebellum,Cerebellum,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL
Colliculus inferior,assigned_single_candidate,FALSE,1,Colliculus inferior,dissection,Midbrain (M) - Inferior colliculus and nearby nuclei - IC,regex_ci,inferior colliculus pattern,Inferior colliculus|\bIC\b,dissection=Midbrain (M) - Inferior colliculus and nearby nuclei - IC -> Colliculus inferior,32306,Midbrain,Midbrain,Midbrain,Midbrain (M) - Inferior colliculus and nearby nuclei - IC
Colliculus superior,assigned_single_candidate,FALSE,1,Colliculus superior,dissection,Midbrain (M) - Superior colliculus and nearby nuclei - SC,regex_ci,superior colliculus pattern,Superior colliculus|\bSC\b,dissection=Midbrain (M) - Superior colliculus and nearby nuclei - SC -> Colliculus superior,29907,Midbrain,Midbrain,Midbrain,Midbrain (M) - Superior colliculus and nearby nuclei - SC
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,28984,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - Central nuclear group - CEN -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,42699,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Central nuclear group - CEN
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,10778,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA
Corpus amygdaloideum,assigned_single_candidate,FALSE,1,Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b,dissection=Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL -> Corpus amygdaloideum || ROIGroupFine=Amygdaloid complex -> Corpus amygdaloideum,35285,Cerebral nuclei,Cerebral nuclei,Amygdaloid complex,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL
