area,cluster,area_specificity
A1,Astro_1,0.100711243
A1,Astro_2,0.07792376
A1,Astro_3,0.156062384
A1,Chandelier_1,0.137704793
A1,Endo_1,0.110543348
A1,L2/3 IT_1,0.152516801
A1,L2/3 IT_2,0.15441687
A1,L2/3 IT_3,0.169770163
A1,L2/3 IT_4,0.234287921
A1,L4 IT_1,0.181698309
A1,L4 IT_2,0.18831612
A1,L4 IT_3,0.234996277
A1,L4 IT_4,0.169941767
A1,L4 IT_5,0.174556941
A1,L5 ET_1,0.042741434
A1,L5 ET_2,0.411324675
A1,L5 IT_1,0.150143874
A1,L5 IT_2,0.120943602
A1,L5 IT_3,0.12267917
A1,L5 IT_4,0.123807524
A1,L5/6 NP_1,0.203628378
A1,L5/6 NP_2,0.103280215
A1,L5/6 NP_3,0.11241736
A1,L5/6 NP_4,0.277632683
A1,L6 CT_1,0.124616132
A1,L6 IT Car3_1,0.11844332
A1,L6 IT Car3_2,0.118384632
A1,L6 IT_1,0.102737024
A1,L6 IT_2,0.098190158
A1,L6 IT_3,0.097685382
A1,L6 IT_4,0.087065341
A1,L6b_1,0.114283189
A1,L6b_2,0.315624855
A1,L6b_3,0.089574129
A1,L6b_4,0.115442011
A1,Lamp5 Lhx6_1,0.114351852
A1,Lamp5 Lhx6_2,0.114452835
A1,Lamp5_1,0.137966183
A1,Lamp5_2,0.151433707
A1,Lamp5_3,0.140558168
A1,Micro/PVM_1,0.100173197
A1,Oligo_1,0.096768766
A1,Oligo_2,0.136313341
A1,Oligo_3,0.114594489
A1,Oligo_4,0.137603836
A1,OPC_1,0.081811114
A1,Pax6_1,0.133928571
A1,Pax6_2,0.150265321
A1,Pax6_3,0.101976364
A1,Pax6_4,0.118397425
A1,Pvalb_1,0.18529933
A1,Pvalb_2,0.123011275
A1,Pvalb_3,0.104649257
A1,Pvalb_4,0.104877447
A1,Pvalb_5,0.120994686
A1,Pvalb_6,0.124176272
A1,Pvalb_7,0.125368398
A1,Pvalb_8,0.167331915
A1,Pvalb_9,0.16035525
A1,Sncg_1,0.122106398
A1,Sncg_2,0.12631487
A1,Sncg_3,0.119889741
A1,Sncg_4,0.165903946
A1,Sncg_5,0.197195651
A1,Sncg_6,0.171069794
A1,Sncg_7,0.169064526
A1,Sncg_8,0.140661555
A1,Sst Chodl_1,0.111400778
A1,Sst Chodl_2,0.145299746
A1,Sst_1,0.120660074
A1,Sst_10,0.175512734
A1,Sst_11,0.154628882
A1,Sst_12,0.137140126
A1,Sst_13,0.161779311
A1,Sst_14,0.230248611
A1,Sst_15,0.111960677
A1,Sst_16,0.137287219
A1,Sst_17,0.1585121
A1,Sst_18,0.114302874
A1,Sst_19,0.10376794
A1,Sst_2,0.105772886
A1,Sst_20,0.200949931
A1,Sst_21,0.202317622
A1,Sst_22,0.176234668
A1,Sst_23,0.125550252
A1,Sst_24,0.127587957
A1,Sst_25,0.104920871
A1,Sst_26,0.116417811
A1,Sst_27,0.109399193
A1,Sst_28,0.120453821
A1,Sst_29,0.127870117
A1,Sst_3,0.142850658
A1,Sst_30,0.121355186
A1,Sst_31,0.132930857
A1,Sst_32,0.11405856
A1,Sst_33,0.114181965
A1,Sst_34,0.152737499
A1,Sst_35,0.149808589
A1,Sst_36,0.157693774
A1,Sst_37,0.198557245
A1,Sst_38,0.141646001
A1,Sst_4,0.11284967
A1,Sst_5,0.12226094
A1,Sst_6,0.112764239
A1,Sst_7,0.141782374
A1,Sst_8,0.230357346
A1,Sst_9,0.116538595
A1,Vip_1,0.171111148
A1,Vip_10,0.104663368
A1,Vip_11,0.132044974
A1,Vip_12,0.149240083
A1,Vip_13,0.139561411
A1,Vip_14,0.182209477
A1,Vip_15,0.180258992
A1,Vip_16,0.176169105
A1,Vip_17,0.170590913
A1,Vip_18,0.178957612
A1,Vip_19,0.141604139
A1,Vip_2,0.162594258
A1,Vip_20,0.144341066
A1,Vip_21,0.157756423
A1,Vip_22,0.10671379
A1,Vip_23,0.122129492
A1,Vip_24,0.098397508
A1,Vip_25,0.152581853
A1,Vip_26,0.124582504
A1,Vip_3,0.167559649
A1,Vip_4,0.146516024
A1,Vip_5,0.179343725
A1,Vip_6,0.156880599
A1,Vip_7,0.1499176
A1,Vip_8,0.120316131
A1,Vip_9,0.142899038
A1,VLMC_1,0.106826497
ACC,Astro_1,0.185137048
ACC,Astro_2,0.179483466
ACC,Astro_3,0.14933259
ACC,Chandelier_1,0.163726867
ACC,Endo_1,0.197666788
ACC,L2/3 IT_1,0.119875536
ACC,L2/3 IT_2,0.119944472
ACC,L2/3 IT_3,0.119696379
ACC,L2/3 IT_4,0.152986243
ACC,L2/3 IT_5,0.186434496
ACC,L2/3 IT_6,0.12377208
ACC,L4 IT_1,0.02241311
ACC,L4 IT_2,0.22306877
ACC,L4 IT_3,0.187147549
ACC,L5 ET_1,0.582229658
ACC,L5 IT_1,0.148606235
ACC,L5 IT_2,0.125621275
ACC,L5 IT_3,0.126226575
ACC,L5 IT_4,0.10853368
ACC,L5 IT_5,0.148173468
ACC,L5 IT_6,0.130255452
ACC,L5 IT_7,0.149624711
ACC,L5/6 NP_1,0.250768576
ACC,L5/6 NP_2,0.231241903
ACC,L5/6 NP_3,0.228077003
ACC,L6 CT_1,0.230954687
ACC,L6 IT Car3_1,0.053956254
ACC,L6 IT_1,0.159239023
ACC,L6 IT_2,0.164681097
ACC,L6b_1,0.17976236
ACC,L6b_2,0.126501767
ACC,L6b_3,0.408481167
ACC,L6b_4,0.298460555
ACC,Lamp5 Lhx6_1,0.17473545
ACC,Lamp5_1,0.146853464
ACC,Lamp5_2,0.273930408
ACC,Lamp5_3,0.11514637
ACC,Micro/PVM_1,0.202685193
ACC,Oligo_1,0.102518043
ACC,Oligo_2,0.141345105
ACC,Oligo_3,0.102611042
ACC,OPC_1,0.189988227
ACC,Pax6_1,0.166294643
ACC,Pax6_2,0.147836832
ACC,Pax6_3,0.27321534
ACC,Pax6_4,0.288460731
ACC,Pvalb_1,0.206004962
ACC,Pvalb_2,0.203282184
ACC,Pvalb_3,0.131099527
ACC,Pvalb_4,0.119653928
ACC,Pvalb_5,0.12227802
ACC,Pvalb_6,0.164259437
ACC,Pvalb_7,0.155214972
ACC,Sncg_1,0.118763031
ACC,Sncg_2,0.16880037
ACC,Sncg_3,0.191831194
ACC,Sncg_4,0.150673149
ACC,Sncg_5,0.234956954
ACC,Sncg_6,0.204748761
ACC,Sncg_7,0.130796833
ACC,Sncg_8,0.261220565
ACC,Sncg_9,0.226252278
ACC,Sst Chodl_1,0.261277391
ACC,Sst Chodl_2,0.261083744
ACC,Sst_1,0.128338857
ACC,Sst_10,0.153814413
ACC,Sst_11,0.214558529
ACC,Sst_12,0.077163508
ACC,Sst_13,0.171051044
ACC,Sst_14,0.247596017
ACC,Sst_15,0.177792725
ACC,Sst_16,0.170260517
ACC,Sst_17,0.223250275
ACC,Sst_18,0.212231986
ACC,Sst_19,0.20354277
ACC,Sst_2,0.276936013
ACC,Sst_20,0.211185996
ACC,Sst_21,0.210144679
ACC,Sst_22,0.222706603
ACC,Sst_23,0.169649733
ACC,Sst_24,0.180798148
ACC,Sst_25,0.09690731
