p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,region
0,3.39514811750449,0.974,0.38,0,Lamp5_1,PRELID2,A1
0,3.28147216608031,1,0.493,0,Lamp5_1,FGF13,A1
0,3.04451653704232,0.998,0.221,0,Lamp5_1,FBXL7,A1
0,2.83297911677711,0.994,0.26,0,Lamp5_1,LINC00299,A1
0,2.72630934862559,0.996,0.149,0,Lamp5_1,KIT,A1
0,2.40545342719983,1,0.536,0,Lamp5_1,UNC13C,A1
0,2.40257396523086,0.964,0.178,0,Lamp5_1,TRPC3,A1
0,2.32313268597346,0.984,0.158,0,Lamp5_1,EYA4,A1
0,2.23943026618282,1,0.406,0,Lamp5_1,MYO16,A1
0,1.98746789085349,0.982,0.299,0,Lamp5_1,NTNG1,A1
0,1.97910574679682,0.956,0.123,0,Lamp5_1,SV2C,A1
0,1.7056811547601,0.97,0.307,0,Lamp5_1,NXPH2,A1
0,1.60503143546533,0.926,0.2,0,Lamp5_1,PKP2,A1
0,1.57478412612847,0.948,0.299,0,Lamp5_1,GOLIM4,A1
0,1.49372380759442,0.94,0.287,0,Lamp5_1,PMEPA1,A1
0,1.48310408165492,0.908,0.213,0,Lamp5_1,TACR1,A1
0,1.47594033418395,0.908,0.105,0,Lamp5_1,LAMP5,A1
0,1.39699773832824,0.894,0.157,0,Lamp5_1,LINC01314,A1
0,1.38846519436874,0.92,0.269,0,Lamp5_1,HPCAL1,A1
0,1.29304550963505,0.894,0.27,0,Lamp5_1,JAM2,A1
0,1.28687066115842,0.856,0.121,0,Lamp5_1,HAPLN1,A1
0,1.2241946323419,0.702,0.061,0,Lamp5_1,ROR2,A1
0,1.17288669796702,0.752,0.048,0,Lamp5_1,CPLX3,A1
0,1.12036740512551,0.818,0.123,0,Lamp5_1,ATP11C,A1
0,1.11203248049036,0.786,0.077,0,Lamp5_1,LINC00298,A1
0,1.10021428255245,0.848,0.169,0,Lamp5_1,TPD52L1,A1
0,1.09773974210089,0.75,0.097,0,Lamp5_1,CA2,A1
0,1.00717057639933,0.752,0.078,0,Lamp5_1,ARHGAP31,A1
0,1.00281876752854,0.66,0.102,0,Lamp5_1,PDGFD,A1
2.68138619793711e-293,2.20253712466828,1,0.397,1.34822779416684e-293,Lamp5_1,ADARB2,A1
1.509028805397e-295,1.69414451185341,0.962,0.361,7.5875477364283e-294,Lamp5_1,FREM1,A1
4.55088539603166e-293,2.02536205204473,1,0.647,2.2882306859821901e-293,Lamp5_1,SLC6A1,A1
4.15046045147824e-289,1.39010961010344,0.96,0.292,2.08689301960777e-284,Lamp5_1,SPHKAP,A1
6.76787340643941e-288,1.43067471668749,0.98,0.31,3.4029544274918e-283,Lamp5_1,EGFR,A1
1.9082244059160298e-287,1.96781121934946,0.996,0.479,9.5947431353864e-283,Lamp5_1,ALK,A1
