p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,region
0,2.58658815557537,0.998,0.343,0,Lamp5,LINC00299,A1
0,2.43213242892337,0.882,0.125,0,Lamp5,KIT,A1
0,2.05463860759496,0.888,0.208,0,Lamp5,TRPC3,A1
0,1.98110735198175,0.994,0.313,0,Lamp5,GAD2,A1
0,1.97247738907945,0.968,0.314,0,Lamp5,FREM1,A1
0,1.91333634034205,0.964,0.157,0,Lamp5,SV2C,A1
0,1.87098613449035,0.872,0.174,0,Lamp5,EYA4,A1
0,1.56377603591465,0.984,0.255,0,Lamp5,EGFR,A1
0,1.44372780456138,0.756,0.147,0,Lamp5,PKP2,A1
0,1.36564726348078,0.936,0.247,0,Lamp5,ANKRD55,A1
0,1.29711234984144,0.886,0.138,0,Lamp5,LAMP5,A1
0,1.09236912107181,0.734,0.06,0,Lamp5,CPLX3,A1
0,1.03808257082125,0.794,0.099,0,Lamp5,LINC00298,A1
0,1.03657876560705,0.784,0.127,0,Lamp5,HAPLN1,A1
2.28216698453579e-293,2.43743956963141,1,0.367,1.14749638153589e-293,Lamp5,ADARB2,A1
2.65189849072172e-293,1.56580674485477,0.972,0.286,1.3334010801197898e-291,Lamp5,DLX6-AS1,A1
8.90027373942148e-293,1.61965427460754,0.908,0.238,4.475146638918529e-291,Lamp5,NXPH2,A1
1.79783156313102e-293,2.01716309758248,0.998,0.497,9.03967688257907e-289,Lamp5,SLC6A1,A1
2.7010277231207297e-291,2.73580527503954,0.998,0.491,1.35810374946234e-286,Lamp5,FGF13,A1
2.2159383263041498e-275,1.83251837565791,0.888,0.203,1.11419594984899e-270,Lamp5,CXCL14,A1
5.73657167457538e-268,1.12849223180369,0.802,0.184,2.88440560369325e-263,Lamp5,LINC01314,A1
5.0504147751042305e-264,1.48174155844579,1,0.87,2.5393990530701598e-259,Lamp5,FGF14,A1
1.24232467505884e-262,2.2404259884573,0.994,0.519,6.246532698663379e-258,Lamp5,PTCHD4,A1
4.17421622066625e-262,2.82378715828851,0.938,0.385,2.0988376579131998e-257,Lamp5,PRELID2,A1
8.428826757792939e-259,1.8084439619638,0.998,0.725,4.2380983820858705e-254,Lamp5,RAB3C,A1
1.63408114019354e-258,2.22648703046432,0.93,0.313,8.21632338100713e-254,Lamp5,FBXL7,A1
8.57725346334582e-253,1.76982622166993,1,0.651,4.31272881390491e-248,Lamp5,DNER,A1
4.21993960341871e-248,1.79794791765427,1,0.766,2.12182783199496e-243,Lamp5,GRIN2A,A1
3.1654692532544196e-246,1.28576782705085,0.936,0.346,1.5916295952288597e-241,Lamp5,TOX2,A1
7.83671610775782e-245,1.26202582021943,0.954,0.344,3.9403792261417093e-240,Lamp5,AP1S2,A1
4.96891151803156e-242,1.77469043851923,1,0.463,2.4984184003814494e-237,Lamp5,MYO16,A1
1.5658128292964897e-241,1.6153139370292,0.962,0.452,7.873063486985678e-237,Lamp5,NRIP3,A1
1.4513371962202699e-236,1.60629003102978,0.996,0.641,7.297468556315129e-232,Lamp5,NYAP2,A1
5.708273285132238e-235,1.18410053947456,0.792,0.218,2.87017689049734e-230,Lamp5,TACR1,A1
1.7905624877313798e-231,1.24421821194297,0.868,0.313,9.003127244562169e-227,Lamp5,PMEPA1,A1
2.9720104002569e-230,1.49539267114458,0.992,0.527,1.4943565493531697e-225,Lamp5,PIP5K1B,A1
7.124418919461129e-227,1.76823381415957,0.996,0.661,3.582229076894249e-222,Lamp5,KCNAB1,A1
1.0736948005203596e-223,1.17805930376668,0.876,0.255,5.398644826496439e-219,Lamp5,LINC00403,A1
6.11517338469904e-221,1.38475721285186,0.964,0.409,3.0747703295605196e-216,Lamp5,GRIN3A,A1
7.355235188667069e-221,1.30456155203196,0.868,0.304,3.69828580521369e-216,Lamp5,GOLIM4,A1
8.024397720825058e-220,1.65132608028269,0.996,0.475,4.034747418008049e-215,Lamp5,ALK,A1
5.88938956696404e-218,1.69788507822063,1,0.718,2.9612439681651897e-213,Lamp5,MGAT4C,A1
8.066157816270459e-217,1.80663637552292,0.998,0.66,4.055744811598949e-212,Lamp5,PTPRT,A1
8.178975604295839e-216,1.25349879516994,0.976,0.547,4.11247072359599e-211,Lamp5,RPH3A,A1
3.434013035344459e-215,1.71067166006861,0.998,0.528,1.7266560943015498e-210,Lamp5,GRIK1,A1
3.4949517224545597e-211,1.30200303130341,1,0.889,1.75729667556738e-206,Lamp5,KAZN,A1
4.24002697709306e-211,1.31604159457892,1,0.731,2.1319279643521599e-206,Lamp5,RIMBP2,A1
7.295718437714659e-210,1.70775549150649,1,0.67,3.6683601876673096e-205,Lamp5,SGCZ,A1
7.917068596352518e-210,1.24703568138723,0.95,0.33,3.9807812609320095e-205,Lamp5,ADAMTS9-AS2,A1
6.84380121210197e-208,1.47695821250592,0.994,0.52,3.441131687456989e-203,Lamp5,KCNIP1,A1
8.1144958895417e-208,1.02020324398868,0.874,0.306,4.080049678220459e-203,Lamp5,JAM2,A1
1.95599536438212e-207,1.44313423291208,1,0.622,9.834940291649738e-203,Lamp5,CNTNAP4,A1
2.52962118695778e-205,1.37307500823594,1,0.76,1.2719188290142398e-200,Lamp5,MTUS2,A1
4.2787419027366394e-204,1.43632740832928,0.948,0.507,2.1513942161150097e-199,Lamp5,DGKD,A1
1.2420155250822698e-203,1.47490182508819,1,0.897,6.244978261666149e-199,Lamp5,MACROD2,A1
1.11865804272125e-201,1.43128199966111,1,0.426,5.62472450460673e-197,Lamp5,ZNF536,A1
4.3157766855167196e-201,1.52793170990243,1,0.7,2.17001567524466e-196,Lamp5,PTPRM,A1
7.15027449154424e-198,1.36912282710257,0.902,0.399,3.5952295170933597e-193,Lamp5,ADAMTSL3,A1
1.26685927189141e-196,1.2106295824878,0.886,0.313,6.36989510499722e-192,Lamp5,TOX3,A1
6.74241621264194e-196,1.21390682837125,1,0.793,3.39015429587849e-191,Lamp5,ADRBK2,A1
3.3360552851274296e-195,1.40270322070104,0.944,0.45,1.6774019579149199e-190,Lamp5,UBASH3B,A1
3.14962229790893e-194,1.54621454061192,1,0.796,1.58366158761159e-189,Lamp5,GRIP1,A1
2.5440883176982398e-191,1.26677095752667,0.856,0.298,1.27919304702185e-186,Lamp5,SPHKAP,A1
3.0515754960334995e-189,1.17391590691425,1,0.904,1.5343626751606097e-184,Lamp5,IL1RAPL1,A1
2.5075853637950697e-188,1.40104976813155,0.994,0.347,1.2608389967697997e-183,Lamp5,NXPH1,A1
1.72869636631939e-187,1.10704581771086,0.964,0.538,8.69205819949052e-183,Lamp5,MPPED1,A1
1.66895870837897e-186,1.52298108196238,0.998,0.731,8.391691281600309e-182,Lamp5,SOX2-OT,A1
5.203959307105469e-185,1.00109967894769,0.92,0.487,2.6166027792056997e-180,Lamp5,HOMER2,A1
7.157152422831069e-184,2.62932311658451,0.668,0.179,3.59868780972369e-179,Lamp5,RELN,A1
1.5128345198364499e-183,1.34174884434308,0.998,0.827,7.60668324918965e-179,Lamp5,EXT1,A1
2.1048356723834798e-181,1.00809309358983,0.844,0.306,1.05833242443114e-176,Lamp5,HPCAL1,A1
5.173205072437901e-181,1.38814933480897,0.992,0.55,2.6011392424725e-176,Lamp5,RBMS3,A1
5.71499720741192e-181,1.1922858595561,0.986,0.5,2.8735577458587896e-176,Lamp5,BCL11B,A1
6.51042210690331e-180,1.20742110207191,0.974,0.396,3.27350533957205e-175,Lamp5,GAD1,A1
1.55517598916482e-179,1.30326685486475,1,0.701,7.81958039111965e-175,Lamp5,KCNC2,A1
4.45676295930181e-179,1.3535706282806,0.97,0.593,2.24090498356654e-174,Lamp5,IGSF11,A1
3.25100923603043e-178,1.58001213276041,0.996,0.735,1.63463995396846e-173,Lamp5,CACNA2D1,A1
6.09139427866829e-175,1.11464155075106,1,0.515,3.0628139572571997e-170,Lamp5,DOCK10,A1
1.61798608917677e-174,1.17447036448272,0.994,0.756,8.1353958549897e-170,Lamp5,MTSS1,A1
1.99728266132004e-174,1.477700407886,0.998,0.553,1.0042536949383299e-169,Lamp5,FSTL5,A1
5.348878554747339e-169,1.1934187500439,0.992,0.598,2.689469626112509e-164,Lamp5,CCDC85A,A1
1.4535446633703698e-168,1.25928172658014,0.982,0.653,7.308567921892538e-164,Lamp5,PID1,A1
1.1305011590160799e-161,1.05596074912245,1,0.795,5.684272877648759e-157,Lamp5,GABRB2,A1
