anatomy_group,p_astrocyte,n_all_nonneurons,astrocyte_source_columns,p_Astrocyte
Caudatum,0.270182992465016,2787,p_Astrocyte,0.270182992465016
Cingulate / limbic,0.290651676035811,4803,p_Astrocyte,0.290651676035811
Colliculus inferior,0.146153846153846,4290,p_Astrocyte,0.146153846153846
Colliculus superior,0.239693542502736,2741,p_Astrocyte,0.239693542502736
Corpus amygdaloideum,0.224683457762463,36567,p_Astrocyte,0.224683457762463
Corpus geniculatum laterale,0.141826643397324,8595,p_Astrocyte,0.141826643397324
Corpus geniculatum mediale,0.0810078569493362,3691,p_Astrocyte,0.0810078569493362
Frontal lobe,0.289243677893019,25743,p_Astrocyte,0.289243677893019
Insular lobe,0.312190142898804,6858,p_Astrocyte,0.312190142898804
Nucleus accumbens,0.259926470588235,2720,p_Astrocyte,0.259926470588235
Nucleus ruber,0.115708039017827,2973,p_Astrocyte,0.115708039017827
Nucleus subthalamicus,0.0670790940232118,19559,p_Astrocyte,0.0670790940232118
Occipital lobe,0.245109115775703,33634,p_Astrocyte,0.245109115775703
Pallidum,0.179636319108553,65332,p_Astrocyte,0.179636319108553
Parietal lobe,0.284347120843471,12330,p_Astrocyte,0.284347120843471
Putamen,0.235374149659864,3675,p_Astrocyte,0.235374149659864
Substantia nigra,0.100819653622959,88574,p_Astrocyte,0.100819653622959
Temporal lobe,0.258986147776822,168565,p_Astrocyte,0.258986147776822
Vermis,0.0118484795424035,17133,p_Astrocyte,0.0118484795424035
