"anatomy_id","anatomy_group","lobe","rcmrglc_mean","rcmrglc_sd","sv2a_mean","sv2a_sd"
"centrum_semiovale","Centrum semiovale","White matter",12.3,1.45,12,19
"pallidum","Pallidum","Subcortical",21.9,2.26,304,52
"amygdala","Corpus amygdaloideum","Subcortical",22.2,1.74,472,84
"hippocampus","Hippocampus","Subcortical",25.7,2.11,350,64
"cerebellar_cortex","Cerebellar cortex","Subcortical",29.8,2.2,341,55
"insular_lobe","Insular lobe","Temporal",30.3,2.55,566,81
"temporal_lobe","Temporal lobe","Temporal",30.5,2.54,595,91
"nucleus_accumbens","Nucleus accumbens","Subcortical",32.3,2.39,598,108
"caudate_nucleus","Caudatum","Subcortical",32.6,3.04,539,81
"frontal_lobe","Frontal lobe","Frontal",35.3,3.51,569,83
"occipital_lobe","Occipital lobe","Occipital",35.8,3.12,546,82
"parietal_lobe","Parietal lobe","Parietal",35.8,3.23,577,85
"putamen","Putamen","Subcortical",40.2,3.5,604,88
