Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc,config,run_tag
Corpus geniculatum laterale,Brownian (BM),1,442.89,581.3499999999999,763.09,335,-0.32207446521672806,-0.7353699820224469,-1.2778663787375297,30,23.1,stephan,stephan_anthro
Corpus geniculatum laterale,Pagel's lambda (ML),1.01,445.90999999999997,584.49,766.14,335,-0.331080935901494,-0.744752493527855,-1.2869843460044497,30,23.1,stephan,stephan_anthro
Amygdala,Brownian (BM),1,1883.2,2340.7,2909.2,3015,0.3753803918153741,0.22365520620462997,0.035074738359760195,8,22.2,stephan,stephan_anthro
Amygdala,Pagel's lambda (ML),0.20400000000000001,2524,3133.8,3890.9,3015,0.162848659250792,-0.03940746482772259,-0.2905287554968471,8,22.2,stephan,stephan_anthro
Pallidum,Brownian (BM),1,10796,12959,15555,4711,-1.2916955869431699,-1.7508266690284797,-2.3019426341575193,15,21.9,stephan,stephan_anthro
Pallidum,Pagel's lambda (ML),1.11,13450,15360,17541,4711,-1.85493419627608,-2.2603572604876208,-2.723353581977421,15,21.9,stephan,stephan_anthro
Neocortex white,Brownian (BM),1,1103600,1480600,1986500,421820,-1.61622492724061,-2.5101097721614307,-3.7094080040045596,13,12.3,stephan,stephan_anthro
Neocortex white,Pagel's lambda (ML),-0.227,617490,848300,1165400,421820,-0.46387110875268905,-1.01106239072181,-1.76279237645572,13,12.3,stephan,stephan_anthro
Insular cortex (grey),Brownian (BM),1,1526.6,2637.7,4557.5,6165,0.75237002968086,0.5721448457023539,0.260751706172161,23,30.3,stephan,stephan_anthro
Insular cortex (grey),Pagel's lambda (ML),0.889,1805.4,3165.8,5551.2,6165,0.7071539018337488,0.48649322002872,0.09956385033761281,23,30.3,stephan,stephan_anthro
Nucleus subthalamicus Luysi,Brownian (BM),1,407.95,512.9,644.8399999999999,469,0.13017443299881898,-0.0935957621449411,-0.374932786931694,14,25.2,stephan,stephan_anthro
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.21,77.41700000000002,140.88000000000002,256.36,469,0.8349313210897751,0.6996227940452059,0.45340044851101297,14,25.2,stephan,stephan_anthro
Capsula interna,Brownian (BM),1,5403.9,6390.7,7557.7,7008,0.22889088337643104,0.0880809799642639,-0.0784417940021536,14,25.5,stephan,stephan_anthro
Capsula interna,Pagel's lambda (ML),-0.309,5.520499999999999,6.7546,8.2645,7008,0.999212252395618,0.9990361621369538,0.998820709296895,14,25.5,stephan,stephan_anthro
Striatum,Brownian (BM),1,17631,21082,25208,28689,0.38543642036665005,0.26515396519323203,0.121329813925203,27,36.3,stephan,stephan_anthro
Striatum,Pagel's lambda (ML),0.885,19403,23604,28715,28689,0.32369341465431994,0.17725243591022005,-8.97475912755787e-4,27,36.3,stephan,stephan_anthro
Area striata grey,Brownian (BM),1,10583,14588,20110,15248,0.3059473847524,0.043240756140963205,-0.31890325113630597,26,35.8,stephan,stephan_anthro
Area striata grey,Pagel's lambda (ML),0.631,11518,16099,22501,15248,0.244607560141668,-0.05581896961857272,-0.47572789690017003,26,35.8,stephan,stephan_anthro
Neocortex grey,Brownian (BM),1,775910,1012600,1321500,584710,-0.32700484363022403,-0.731808138248967,-1.26009682037083,13,33.5,stephan,stephan_anthro
Neocortex grey,Pagel's lambda (ML),0.29900000000000004,420290,598430,852070,584710,0.281197534913047,-0.0234676666752454,-0.45726554318780405,13,33.5,stephan,stephan_anthro
Mesencephalon,Brownian (BM),1,4486.6,4951.3,5464.2,8087,0.445211915429004,0.38774126788111696,0.324317220428962,27,25.3,stephan,stephan_anthro
Mesencephalon,Pagel's lambda (ML),0.7829999999999999,5000.7,5597.4,6265.2,8087,0.38164146994782705,0.307857710252125,0.22526992678986602,27,25.3,stephan,stephan_anthro
Cerebellum,Brownian (BM),1,55433,67979,83364,137420,0.596621945764017,0.5053258100308852,0.3933667147929541,27,29.8,stephan,stephan_anthro
Cerebellum,Pagel's lambda (ML),0.963,57946,71652,88600,137420,0.5783336785744391,0.4785960933828891,0.355267376070065,27,29.8,stephan,stephan_anthro
Hippocampus,Brownian (BM),1,3932.5,5677.8,8197.6,10287,0.6177171219016537,0.44806142399067306,0.20311316791741701,27,25.7,stephan,stephan_anthro
Hippocampus,Pagel's lambda (ML),1.08,3850.7,5283.9,7250.6,10287,0.6256705216066469,0.4863481958602021,0.295171256539879,27,25.7,stephan,stephan_anthro
Nucleus dentatus cerebelli,Brownian (BM),1,586.6,744.11,943.91,1166.9,0.497296912679036,0.36231734934240506,0.19109475711243004,25,24.2,stephan,stephan_anthro
Nucleus dentatus cerebelli,Pagel's lambda (ML),1.01,585.9499999999999,740.65,936.19,1166.9,0.497861759602737,0.36528813216511896,0.19771265607709104,25,24.2,stephan,stephan_anthro
Corpus geniculatum laterale,Brownian (BM),1,322.04,433.28999999999996,582.98,373.67,0.138164302654747,-0.15957473567596503,-0.5601739075787321,30,23.1,merged_all,merged_all_anthro
Corpus geniculatum laterale,Pagel's lambda (ML),0.9440000000000001,317.17,430.33,583.8599999999999,373.67,0.15120298696632506,-0.15162854452610303,-0.5625035010752238,30,23.1,merged_all,merged_all_anthro
Amygdala,Brownian (BM),1,1156.4,1399.4,1693.6,4545.8,0.7456216367016341,0.692152286324123,0.6274438848232269,27,22.2,merged_all,merged_all_anthro
Amygdala,Pagel's lambda (ML),0.9450000000000001,1194,1455.6,1774.6,4545.8,0.7373312200664449,0.679781451440976,0.6096227390739519,27,22.2,merged_all,merged_all_anthro
Pallidum,Brownian (BM),1,1775.3,2208.7,2747.9,4711,0.6231662757466447,0.531164269650599,0.41670044928230904,14,21.9,merged_all,merged_all_anthro
Pallidum,Pagel's lambda (ML),1.12,1364.7,1576.3,1820.7,4711,0.7103144860856598,0.6654014250203338,0.6135250090153669,14,21.9,merged_all,merged_all_anthro
Neocortex white,Brownian (BM),1,711620,1030600,1492500,413900,-0.7193101359833098,-1.4899414447704398,-2.6059860688483107,15,12.3,merged_all,merged_all_anthro
Neocortex white,Pagel's lambda (ML),-0.313,7.517e-42,1.0488000000000002e-41,1.4633000000000002e-41,413900,1,1,1,15,12.3,merged_all,merged_all_anthro
Insular cortex (grey),Brownian (BM),1,1596.3,2947.7,5443.1,6479,0.7536151497260759,0.545037894601275,0.15988942859630206,20,30.3,merged_all,merged_all_anthro
Insular cortex (grey),Pagel's lambda (ML),0.8390000000000001,1919.8,3644.4,6918.2,6479,0.703689973060764,0.4375091094144741,-0.06778702448898852,20,30.3,merged_all,merged_all_anthro
Nucleus subthalamicus Luysi,Brownian (BM),1,208.56,272.37,355.69,469,0.555305451946382,0.41925846140856204,0.241590129400719,13,25.2,merged_all,merged_all_anthro
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.21,115.86999999999999,218.02,410.24,469,0.7529448195988172,0.535130897254754,0.12528333817470103,13,25.2,merged_all,merged_all_anthro
Capsula interna,Brownian (BM),1,3034.9,3559,4173.5,7008,0.566938693042658,0.492156572810151,0.40446088718488016,13,25.5,merged_all,merged_all_anthro
Capsula interna,Pagel's lambda (ML),-0.344,1.0439999999999999e-57,1.2539e-57,1.506e-57,7008,1,1,1,13,25.5,merged_all,merged_all_anthro
Striatum,Brownian (BM),1,8168.3,10742,14128,28689,0.715279692159955,0.6255578641926368,0.5075626528658179,26,36.3,merged_all,merged_all_anthro
Striatum,Pagel's lambda (ML),0.802,10006,13554,18362,28689,0.651234792011984,0.527541934965123,0.359980244290393,26,36.3,merged_all,merged_all_anthro
Area striata grey,Brownian (BM),1,8877.8,12115,16532,15464,0.4258868977647672,0.21655836566736805,-0.06909386324073169,25,35.8,merged_all,merged_all_anthro
Area striata grey,Pagel's lambda (ML),1.03,8893.5,11944,16041,15464,0.4248740412414401,0.22758923180988502,-0.0373699634491845,25,35.8,merged_all,merged_all_anthro
Neocortex grey,Brownian (BM),1,785340,1023500,1333800,574360,-0.36733792850709696,-0.7819655562311569,-1.3223236753632799,15,33.5,merged_all,merged_all_anthro
Neocortex grey,Pagel's lambda (ML),-1.1800000000000002,8300100,9142600,10071000,574360,-13.4511294675074,-14.918001945270497,-16.533770387937796,15,33.5,merged_all,merged_all_anthro
Mesencephalon,Brownian (BM),1,2976.5,3323,3709.8,8087,0.6319446125037412,0.589095378186202,0.541257609686107,26,25.3,merged_all,merged_all_anthro
Mesencephalon,Pagel's lambda (ML),-0.20600000000000002,27160,30746,34804,8087,-2.35850705803848,-2.801852820708559,-3.3037232378994803,26,25.3,merged_all,merged_all_anthro
Cerebellum,Brownian (BM),1,53888,67066,83468,136800,0.6060910065047982,0.509760506506821,0.38987236912788115,28,29.8,merged_all,merged_all_anthro
Cerebellum,Pagel's lambda (ML),1.05,52301,64328,79122,136800,0.6176956946268402,0.529776284185822,0.4216378424033949,28,29.8,merged_all,merged_all_anthro
Hippocampus,Brownian (BM),1,2034.4,3051.4,4576.6,10287,0.802238611991304,0.7033880951238679,0.55512740378633,27,25.7,merged_all,merged_all_anthro
Hippocampus,Pagel's lambda (ML),0.9500000000000001,2052.9,3146.1,4821.3,10287,0.800442549310383,0.6941820610291819,0.5313399150311701,27,25.7,merged_all,merged_all_anthro
Nucleus dentatus cerebelli,Brownian (BM),1,725.13,955.66,1259.5,1166.9,0.378587410551063,0.181030167810572,-0.07933375896223913,24,24.2,merged_all,merged_all_anthro
Nucleus dentatus cerebelli,Pagel's lambda (ML),0.994,722.97,954.92,1261.3,1166.9,0.38043214166692196,0.18165693605410999,-0.0808910780331751,24,24.2,merged_all,merged_all_anthro
Corpus geniculatum laterale,Brownian (BM),1,500.12,787.3399999999999,1239.5,373.67,-0.338411588989581,-1.1070706610328,-2.3171759771872,21,23.1,merged_histol,merged_histological_anthro
Corpus geniculatum laterale,Pagel's lambda (ML),1.12,486.36,817.4399999999999,1373.9,373.67,-0.301599980139487,-1.1876257024247698,-2.6767872517919207,21,23.1,merged_histol,merged_histological_anthro
Amygdala,Brownian (BM),1,2446,3603,5307.4,4545.8,0.4619203681928901,0.20739273904913502,-0.167534009793627,18,22.2,merged_histol,merged_histological_anthro
Amygdala,Pagel's lambda (ML),0.74,2806.2,3830.1,5227.6,4545.8,0.38268696592261114,0.15744632323875102,-0.14997846965094702,18,22.2,merged_histol,merged_histological_anthro
Pallidum,Brownian (BM),1,7638.9,10632,14798,4711,-0.6214962589896469,-1.25687678825573,-2.1412300886474007,10,21.9,merged_histol,merged_histological_anthro
Pallidum,Pagel's lambda (ML),0.882,7870.6,10675,14478,4711,-0.670678718838783,-1.2658987766269998,-2.07318050324383,10,21.9,merged_histol,merged_histological_anthro
Neocortex white,Brownian (BM),1,400200,760720,1446000,413900,0.0331009873694186,-0.8379402408808742,-2.493668195873799,7,12.3,merged_histol,merged_histological_anthro
Neocortex white,Pagel's lambda (ML),-0.74,2650.9,3529,4697.9,413900,0.99359528920619,0.9914738390202249,0.9886496949833712,7,12.3,merged_histol,merged_histological_anthro
Insular cortex (grey),Brownian (BM),1,3146,8695,24031,6479,0.5144362424449669,-0.34202092954839297,-2.7091322145100705,16,30.3,merged_histol,merged_histological_anthro
